排名,tag,评分等级,A(意外),B(解码),C(共鸣),D(延展),E(传播),总分,备注
58,"朋友群的潜水并截图大师",稀有,2,4,4,4,3,17,"潜水截图共鸣极强"
59,"单身饭桶鉴定",稀有,3,4,4,3,3,17,"单身饮食共鸣好"
60,"单身等死型恋爱",稀有,3,4,4,3,3,17,"单身恋爱共鸣好"
61,"妈见打型单身贵族",稀有,3,4,4,3,3,17,"反催婚共鸣好"
62,"暧昧期ICU重症",稀有,3,4,4,3,3,17,"暧昧共鸣好"
63,"单身保命指南作者",稀有,3,4,4,3,3,17,"单身生存共鸣好"
64,"线上疯批线下怂",稀有,3,4,4,3,3,17,"线上社牛线下怂共鸣好"
65,"你的大脑是什么浏览器",稀有,3,4,3,4,3,17,"与#54大脑搜索引擎重叠"
66,"确诊为二手市场",稀有,3,4,3,4,3,17,"二手市场×人格有趣"
67,"友谊的小船是什么材质",稀有,3,3,3,4.5,3,16.5,"实体型，真实船舶品类结果+0.5，但'友谊小船'是老梗展开"
68,"你的内心戏是什么类型片",稀有,3,3,3,4.5,3,16.5,"实体型，真实电影类型结果+0.5"
69,"恋爱中的离谱角色",稀有,3,3,4,3,3,16,"维度D都是生造的'XX型选手'，无实体加分"
70,"证明今天的班白上了",稀有,2,3,4,4,3,16,"主题不新但dim切得准，共鸣好"
71,"你的互联网人格",稀有,3,3,4,3,3,16,"互联网人格分裂主题常见，结果有网感"
72,"恋爱里的阅读理解得分",稀有,3,3,4,3,3,16,"恋爱+考试跨界，dim从考试展开但结果是生造"
73,"你的身体是什么版本",稀有,3,3,3,4,3,16,"身体→设备版本，dim展开好"
74,"人生重启点在哪",稀有,3,3,3,4,3,16,"人生→游戏存档，dim展开好"
75,"你的手机相册是什么主题",稀有,2,4,4,3,3,16,"共鸣好但主题不新"
76,"职场食物链你在哪一层",稀有,3,3,3,4,3,16,"食物链+职场，dim从生态位置展开好"
77,"职场必杀技冷却时间",稀有,3,3,3,4,3,16,"职场→游戏技能，dim从技能系统展开好"
78,"办公室神秘音源",稀有,3,4,3,3,3,16,"工位声音生态有趣但dim展开不够深"
79,"周一早八的怨气",稀有,2,4,4,3,3,16,"周一怨气共鸣强，dim展开好"
80,"职场小强命格",稀有,3,3,3,4,3,16,"小强→生命力映射有趣，dim展开好"
81,"工位零食生态学",稀有,3,3,3,4,3,16,"生态学概念有趣，dim展开好"
82,"宠物前世身份",稀有,2,4,4,3,3,16,"宠物主人共鸣好"
83,"火锅蘸料配方师",稀有,3,4,3,3,3,16,"火锅蘸料共鸣好"
84,"前任的现任观察员",稀有,2,4,4,3,3,16,"观察前任共鸣好"
85,"耳机焊在耳朵上",稀有,2,4,4,3,3,16,"耳机依赖共鸣极强"
86,"取快递伪装大师",稀有,2,4,4,3,3,16,"取快递共鸣好"
87,"海底捞社恐选手",稀有,2,4,4,3,3,16,"海底捞社恐共鸣好"
88,"外卖备注小作文",稀有,2,4,4,3,3,16,"外卖备注共鸣好"
89,"相册全是截图",稀有,2,4,4,3,3,16,"截图相册共鸣好"
90,"收藏夹吃灰达人",稀有,2,4,4,3,3,16,"收藏夹吃灰共鸣好"
91,"投胎当小区流浪猫",稀有,3,4,3,3,3,16,"宠物转世有趣"
92,"下辈子做冰箱",稀有,3,4,3,3,3,16,"与#50/#141电器重叠"
93,"用点菜方式看统治风格",稀有,3,4,3,3,3,16,"点菜×统治有趣"
94,"你的笑声像什么乐器",稀有,3,4,3,3,3,16,"笑声×乐器有趣"
95,"互联网考古学家",稀有,3,3,3,3,3,15,"考古×互联网跨界不错但不算罕见，结果混搭风格"
96,"摸鱼时在平行世界做什么",稀有,3,3,3,3,3,15,"摸鱼+平行世界有趣但结果生造，dim展开一般"
97,"你的爱情兵法",稀有,3,3,3,3,3,15,"爱情+兵法跨界但执行一般"
98,"你的暗恋像什么地下工作",稀有,3,3,3,3,3,15,"暗恋主题多个变体中不算突出"
99,"会议中的角色扮演",稀有,2,3,4,3,3,15,"会议角色共鸣好但主题常见"
100,"选择性耳聋",稀有,2,3,4,3,3,15,"选择性耳聋共鸣好但标签玩法普通"
101,"你是哪种民间传说生物",稀有,3,3,3,3,3,15,"民间传说有趣但结果全是生造"
102,"周末人格分裂",稀有,2,3,4,3,3,15,"周末现象共鸣好但主题不新"
103,"PPT驯兽师",稀有,2,4,3,3,3,15,"PPT驯兽命名有趣，共鸣一般"
104,"你的周末重启方式",稀有,2,3,4,3,3,15,"周末主题变体但共鸣好"
105,"工位失踪物品图鉴",稀有,2,4,3,3,3,15,"工位丢东西共鸣好"
106,"你的工作待机模式",稀有,2,3,3,4,3,15,"待机模式dim展开好"
107,"你的职场替身",稀有,3,3,3,3,3,15,"替身JOJO-like概念有趣但dim不够深"
108,"周末时间膨胀现象",稀有,2,3,4,3,3,15,"周末现象共鸣好但主题不新"
109,"把天聊死专业几级",稀有,2,3,3,4,3,15,"聊死话题dim展开好"
110,"摸鱼时的手部小动作",稀有,2,3,3,4,3,15,"手部小动作dim展开好"
111,"外卖记录反推人生",稀有,3,3,3,3,3,15,"主题有趣但执行一般"
112,"你眼中的自己 vs 别人眼中的你",稀有,2,3,4,3,3,15,"常见主题但共鸣好"
113,"没人理解的生活习惯",稀有,3,3,3,3,3,15,"生活习惯共鸣好"
114,"你的翻聊天记录流派",稀有,2,3,3,4,3,15,"聊天记录考古多个变体"
115,"聚会隐形人",稀有,2,3,4,3,3,15,"社恐共鸣好"
116,"前世是驿站喂马的",稀有,3,3,3,3,3,15,"与#152重复"
117,"用赖床理由推测历史事件",稀有,3,3,3,3,3,15,"赖床×历史有趣"
118,"你是哪种小猫",稀有,2,4,3,3,3,15,"猫品种有趣"
119,"你是哪种天气",稀有,3,3,3,3.5,2,14.5,"实体型，真实天气品类结果+0.5，dim从天气展开但有日历类比感"
120,"用睡觉姿势推测历史地位",稀有,3,3,3,3,2,14,"睡姿→历史人物跨界有趣但结果一般"
121,"QQ号转世成什么",稀有,3,3,3,2,3,14,"只有3个dim太单薄，但80后90后有回忆共鸣"
122,"摸鱼时长的历史地位",稀有,2,3,3,4,2,14,"摸鱼标签太多不新，dim展开好"
123,"职场戏精的自我修养",稀有,2,3,3,3,3,14,"戏精主题不新，普通表现"
124,"你的专属BGM是什么",稀有,2,3,3,3,3,14,"BGM测人格不新鲜，普通表现"
125,"职场生存靠什么天赋",稀有,2,3,3,3,3,14,"职场天赋主题常见，普通"
126,"聊天记录考古学家",稀有,2,3,3,4,2,14,"与#25互联网考古学家概念重叠"
127,"你的社交面具有几层",稀有,2,3,3,3,3,14,"社交面具主题常见"
128,"你的职场寿命还剩几天",稀有,2,3,3,3,3,14,"职场寿命检测，主题常见"
129,"你的职场保护色",稀有,2,3,3,3,3,14,"保护色概念常见"
130,"深夜改稿的怨灵",稀有,2,3,3,3,3,14,"改稿怨灵共鸣有但主题常见"
131,"你的摸鱼搭子",稀有,2,3,3,3,3,14,"摸鱼搭子共鸣有"
132,"通勤路上的修行",稀有,2,3,3,3,3,14,"通勤主题不新鲜"
133,"你的怨气收集器",稀有,2,3,3,3,3,14,"怨气收集概念有趣但执行一般"
134,"你的请假理由库",稀有,2,3,3,3,3,14,"请假理由共鸣有但标签不新鲜"
135,"职场隐形人修炼手册",稀有,2,3,3,3,3,14,"职场隐身主题常见"
136,"你的周末重启键在哪",稀有,2,3,3,3,3,14,"周末重启主题常见"
137,"你的暗恋属于什么流派",稀有,2,3,3,3,3,14,"暗恋主题多个变体"
138,"开会时的真实精神状态",稀有,2,3,3,3,3,14,"开会走神共鸣好但不新"
139,"在同事眼里的人设",稀有,2,3,3,3,3,14,"同事人设常见话题"
140,"你的网络人格分裂指数",稀有,2,3,3,3,3,14,"与#11互联网人格重叠"
141,"你是哪个小众领域专家",稀有,2,3,3,3,3,14,"小众领域dim展开好但标签不新"
142,"你和最好朋友的相似度",稀有,2,3,3,3,3,14,"朋友相似度常见"
143,"通过歌单看人生阶段",稀有,2,3,3,3,3,14,"歌单主题常见"
144,"把天聊死流派",稀有,2,3,3,3,3,14,"与#119重叠"
145,"给日常物品分配MBTI",稀有,2,3,3,3,3,14,"MBTI常见，物品分配不新鲜"
146,"跟表情包的灵魂契合度",稀有,2,3,3,3,3,14,"表情包主题常见"
147,"证明你和朋友是同一个人",稀有,2,3,3,3,3,14,"与#129重叠"
148,"通过歌单诊断近期状态",稀有,2,3,3,3,3,14,"与#133歌单主题重叠"
149,"猫奴等级测试",稀有,2,3,3,3,3,14,"分类标签常见"
150,"狗语八级学者",稀有,2,3,3,3,3,14,"与#155同类"
151,"追星站姐代餐",稀有,2,3,3,3,3,14,"追星分题不新"
152,"猫掉毛量计算",稀有,2,3,3,3,3,14,"养猫分题常见"
153,"游戏按键磨损度",稀有,2,3,3,3,3,14,"游戏分题常见"
154,"爱豆同款相似度",稀有,2,3,3,3,3,14,"追星分题常见"
155,"奶茶糖分计算师",稀有,2,3,3,3,3,14,"奶茶分题常见"
156,"单身桃花转世",稀有,2,3,3,3,3,14,"单身分题常见"
157,"吃货财运关联",稀有,2,3,3,3,3,14,"吃货分题常见"
158,"宠物争宠大师",稀有,2,3,3,3,3,14,"宠物分题"
159,"追星梦女等级",稀有,2,3,3,3,3,14,"追星分题"
160,"工位追星隐蔽者",稀有,2,3,3,3,3,14,"追星+工位"
161,"带薪蹲点抢外卖",稀有,2,3,3,3,3,14,"抢外卖共鸣有"
162,"仓鼠囤粮爱好者",稀有,2,3,3,3,3,14,"囤货常见"
163,"游戏嘴强王者",稀有,2,3,3,3,3,14,"游戏分题"
164,"追星物料考古家",稀有,2,3,3,3,3,14,"追星分题"
165,"单身情侣观察员",普通,2,3,3,3,3,14,"单身分题"
166,"宠物表情包大户",普通,2,3,3,3,3,14,"宠物分题常见"
167,"新游尝鲜韭菜",普通,2,3,3,3,3,14,"游戏分题常见"
168,"应援词背诵大师",普通,2,3,3,3,3,14,"追星分题"
169,"隐藏菜单挖掘者",普通,2,3,3,3,3,14,"美食分题"
170,"遛狗步数换算",普通,2,3,3,3,3,14,"养狗分题"
171,"游戏喷人速度测试",普通,2,3,3,3,3,14,"游戏分题"
172,"爱豆生日记忆力",普通,2,3,3,3,3,14,"追星分题"
173,"相亲局话术大师",普通,2,3,3,3,3,14,"相亲分题"
174,"前任考古学家",普通,2,3,3,3,3,14,"前任分题"
175,"相亲对象分类学",普通,2,3,3,3,3,14,"相亲分题"
176,"朋友圈官宣拖延症",普通,2,3,3,3,3,14,"官宣拖延共鸣好但不新"
177,"月老线打结专家",普通,2,3,3,3,3,14,"单身分题"
178,"相亲简历优化师",普通,2,3,3,3,3,14,"相亲分题"
179,"催婚话术反侦察",普通,2,3,3,3,3,14,"反催婚分题"
180,"孤寡青蛙转世",普通,2,3,3,3,3,14,"单身分题"
181,"恋爱演习指挥官",普通,2,3,3,3,3,14,"恋爱分题"
182,"相亲KPI考核员",普通,2,3,3,3,3,14,"相亲分题"
183,"前任遗物清理师",普通,2,3,3,3,3,14,"前任分题"
184,"桃花运风水大师",普通,2,3,3,3,3,14,"桃花分题"
185,"嘴硬心软型选手",普通,2,3,3,3,3,14,"人格分题常见"
186,"办公室恋情观察家",普通,2,3,3,3,3,14,"办公室八卦"
187,"恋爱剧本杀编剧",普通,2,3,3,3,3,14,"恋爱分题"
188,"催婚抗压训练营",普通,2,3,3,3,3,14,"反催婚分题"
189,"分手大师速成班",普通,2,3,3,3,3,14,"分手分题"
190,"正缘迷路中",普通,2,3,3,3,3,14,"单身分题"
191,"相亲尬聊记录员",普通,2,3,3,3,3,14,"相亲分题"
192,"自我攻略型选手",普通,2,3,3,3,3,14,"恋爱分题"
193,"恋爱防沉迷系统",普通,2,3,3,3,3,14,"恋爱分题"
194,"职场寡王",普通,2,3,3,3,3,14,"职场单身"
195,"失恋废墟重建师",普通,2,3,3,3,3,14,"失恋分题"
196,"相亲对象图鉴收集",普通,2,3,3,3,3,14,"相亲分题"
197,"道歉型人格",普通,2,3,3,3,3,14,"人格标签常见"
198,"奶茶选糖纠结症",普通,2,3,3,3,3,14,"奶茶分题"
199,"表情包当饭吃",普通,2,3,3,3,3,14,"表情包分题"
200,"MBTI行走说明书",普通,2,3,3,3,3,14,"MBTI分题常见"
201,"沙发土豆转世",普通,2,3,3,3,3,14,"宅家分题"
202,"历史人物同款懒",普通,2,3,3,3,3,14,"懒惰分题"
203,"洗发水用到底才换",普通,2,3,3,3,3,14,"生活习惯常见"
204,"微信步数判行踪",普通,2,3,3,3,3,14,"步数分题"
205,"听歌品味测年龄",普通,2,3,3,3,3,14,"歌单分题"
206,"上辈子是守门石狮子",普通,3,3,3,3,2,14,"有趣但dim不足以展开"
207,"暗恋等死型选手",普通,2,3,3,3,3,14,"暗恋变体"
208,"闺蜜恋爱军师",普通,2,3,3,3,3,14,"闺蜜军师常见"
209,"工位零食库管理员",普通,2,3,3,3,3,14,"与#112重叠"
210,"群聊潜水截图党",普通,2,3,3,3,3,14,"与#153重叠"
211,"凑单小能手",普通,2,3,3,3,3,14,"实惠共鸣"
212,"无用商品收藏家",普通,2,3,3,3,3,14,"无用购物共鸣"
213,"外卖备注十级学者",普通,2,3,3,3,3,14,"与#241重叠"
214,"快递拆箱仪式爱好者",普通,2,3,3,3,3,14,"拆箱共鸣"
215,"乾隆同款外卖品味",普通,2,3,3,3,3,14,"乾隆梗有趣"
216,"deadline战神",普通,2,3,3,3,3,14,"deadline常见"
217,"上辈子是囤货松鼠",普通,2,3,3,3,3,14,"囤货分题"
218,"退货小能手",普通,2,3,3,3,3,14,"退货共鸣"
219,"网购买同款狂魔",普通,2,3,3,3,3,14,"购物分题"
220,"下辈子当收租婆",普通,2,3,3,3,3,14,"理想生活"
221,"外卖催单大师",普通,2,3,3,3,3,14,"外卖分题"
222,"朋友群的聊天定位",普通,2,3,3,3,3,14,"群聊分题"
223,"恋爱像在玩什么游戏",普通,2,3,3,3,3,14,"恋爱游戏常见"
224,"你的工位风水怎么样",普通,2,3,3,3,3,14,"工位风水共鸣"
225,"你的大脑后台程序",普通,2,3,3,3,3,14,"与#42重叠"
226,"下辈子的出生点",普通,2,3,3,3,3,14,"下辈子分题"
227,"工位上的神秘失踪事件",普通,2,3,3,3,3,14,"与#93重叠"
228,"下辈子投胎成什么岗位",普通,2,3,3,3,3,14,"下辈子分题"
229,"你是哪个朝代的民间专家",普通,2,3,3,3,3,14,"朝代分题"
230,"塑料友情鉴定",普通,2,3,3,3,3,14,"友情分题"
231,"通过奶茶订单反推人生",普通,2,3,3,3,3,14,"奶茶分题"
232,"确诊为路由器",普通,3,3,3,3,2,14,"路由器实体有趣但执行一般"
233,"你的表情包灵魂伴侣",普通,2,3,3,3,3,14,"表情包分题"
234,"朋友群里的备注名",普通,2,3,3,3,3,14,"群备注共鸣好"
235,"如果家具会说话",普通,2,3,3,3,3,14,"家具拟人有趣"
236,"下辈子投胎去哪",普通,2,3,3,3,3,14,"下辈子变体"
237,"讨好型人格",普通,2,3,3,3,3,14,"人格标签常见"
238,"MBTI隐秘人格",普通,2,3,3,3,3,14,"MBTI分题"
239,"渣男鉴别器",普通,2,3,3,3,3,14,"鉴别类常见"
240,"社恐评级",普通,2,3,3,3,3,14,"社恐常见"
241,"戏精体质",普通,2,3,3,3,3,14,"戏精常见"
242,"你的精神图腾",普通,2,3,3,3,3,14,"精神图腾有趣"
243,"小丑竟是我",普通,2,3,3,3,3,14,"小丑梗常见"
244,"你的存在感是什么网络信号",普通,2,3,3,3.5,2,13.5,"网络信号已有#8，#30雷同度高"
245,"确诊为会议室盆栽",普通,2,3,3,3.5,2,13.5,"实体型但#22已有植物主题，重叠"
246,"废话大师鉴定",普通,2,3,2,4,2,13,"主题不新，dim切得细但共鸣弱"
247,"废话文学十级学者",普通,2,3,2,4,2,13,"跟#2同主题，dim细但无新意"
248,"用手机电量类比社交能量",普通,2,3,3,3,2,13,"跟#5充电宝概念重叠严重"
249,"深夜思想家",普通,2,3,3,3,2,13,"深夜思考主题常见"
250,"本周功德收支表",普通,2,3,3,3,2,13,"与#18功德主题重叠"
251,"内心戏独角戏演员",普通,2,3,3,3,2,13,"内心戏主题与#46/#6重叠"
252,"咖啡续命鉴定",普通,2,3,3,3,2,13,"咖啡续命不新鲜"
253,"加班功德",普通,2,3,3,3,2,13,"功德主题第三个变体"
254,"下班后回血速度",普通,2,3,3,3,2,13,"回血概念常见"
255,"你的摸鱼BGM",普通,2,3,3,3,2,13,"摸鱼BGM主题常见"
256,"深夜加班emo等级",普通,2,3,3,3,2,13,"emo主题常见"
257,"你的下班仪式感",普通,2,3,3,3,2,13,"下班仪式不新鲜"
258,"慢性待机确诊",普通,2,3,3,3,2,13,"待机主题常见"
259,"深夜矫情浓度检测",普通,2,3,3,3,2,13,"深夜矫情常见"
260,"灵气复苏你在哪一层",普通,3,3,2,3,2,13,"灵气复苏小众主题共鸣有限"
261,"恋爱脑发作周期",普通,2,3,3,3,2,13,"恋爱脑常见"
262,"深夜矫情等级",普通,2,3,3,3,2,13,"与#120重叠"
263,"追星缘分指数",普通,2,3,3,3,2,13,"追星分题"
264,"游戏cp绝缘体",普通,2,3,3,3,2,13,"游戏分题"
265,"单身脱单flag寿命",普通,2,3,3,3,2,13,"单身分题"
266,"恋爱脑间歇性发作",普通,2,3,3,3,2,13,"恋爱脑常见"
267,"脱单锦鲤绝缘体",普通,2,3,3,3,2,13,"单身分题"
268,"恋爱废物鉴定",普通,2,3,3,3,2,13,"恋爱分题"
269,"分手后遗症门诊",普通,2,3,3,3,2,13,"分手分题"
270,"注孤生体质检测",普通,2,3,3,3,2,13,"单身分题"
271,"恋爱内耗冠军",普通,2,3,3,3,2,13,"恋爱分题"
272,"月老黑名单VIP",普通,2,3,3,3,2,13,"单身分题"
273,"催婚免疫球蛋白",普通,2,3,3,3,2,13,"反催婚分题"
274,"桃花劫体质",普通,2,3,3,3,2,13,"桃花分题"
275,"恋爱脑格式化失败",普通,2,3,3,3,2,13,"恋爱脑分题"
276,"熬夜冠军守门员",普通,2,3,3,3,2,13,"熬夜常见"
277,"睡觉姿势测命格",普通,2,3,3,3,2,13,"与#4睡姿重叠"
278,"月老红线缠脚了",普通,2,3,3,3,2,13,"月老版本"
279,"恋爱脑晚期患者",普通,2,3,3,3,2,13,"恋爱脑变体"
280,"把天聊死小能手",普通,2,3,3,3,2,13,"聊死变体"
281,"开会灵魂出窍",普通,2,3,3,3,2,13,"会议变体"
282,"改方案改到吐",普通,2,3,3,3,2,13,"职场分题"
283,"周一综合症重度",普通,2,3,3,3,2,13,"与#81重叠"
284,"工资到账即清空",普通,2,3,3,3,2,13,"月光常见"
285,"拖延二级残废",普通,2,3,3,3,2,13,"拖延常见"
286,"外卖选择困难户",普通,2,3,3,3,2,13,"外卖分题"
287,"emo文案收藏家",普通,2,3,3,3,2,13,"emo常见"
288,"深夜网抑云常驻嘉宾",普通,2,3,3,3,2,13,"网抑云常见"
289,"明日复明日信徒",普通,2,3,3,3,2,13,"拖延变体"
290,"拖延症阎王薄记载",普通,2,3,3,3,2,13,"拖延变体"
291,"工作群潜水冠军",普通,2,3,3,3,2,13,"潜水常见"
292,"深夜食欲控制失败",普通,2,3,3,3,2,13,"深夜食欲常见"
293,"万年踩点上班选手",普通,2,3,3,3,2,13,"踩点常见"
294,"下班失联专业户",普通,2,3,3,3,2,13,"失联常见"
295,"emo秒删选手",普通,2,3,3,3,2,13,"emo变体"
296,"开会走神选手",普通,2,3,3,3,2,13,"会议变体"
297,"深夜回忆杀患者",普通,2,3,3,3,2,13,"深夜emo变体"
298,"深夜哲学大师",普通,2,3,3,3,2,13,"深夜变体"
299,"你的阳寿被什么扣完了",普通,2,3,3,3,2,13,"与#127重叠"
300,"办公室食物链位置",普通,2,3,3,3,2,13,"与#58重叠"
301,"上辈子存的功德余额",普通,2,3,3,3,2,13,"功德变体"
302,"暗恋像在玩什么",普通,2,3,3,3,2,13,"暗恋变体"
303,"职场隐身术修炼等级",普通,2,3,3,3,2,13,"与#109重叠"
304,"开会时的真实脑内活动",普通,2,3,3,3,2,13,"与#118重叠"
305,"暗恋表达流派",普通,2,3,3,3,2,13,"暗恋变体"
306,"下班前最后五分钟",普通,2,3,3,3,2,13,"与#84重叠"
307,"今日运势（准不准你说了算）",普通,2,3,3,3,2,13,"与#136重叠"
308,"拖延症晚期",普通,2,3,3,3,2,13,"拖延常见"
309,"谁在暗恋你",普通,2,3,3,2,3,13,"dim太少"
310,"社死瞬间",普通,2,3,3,3,2,13,"社死常见"
311,"板砖武器",普通,2,3,3,3,2,13,"武器分题"
312,"前世是什么",普通,2,3,3,3,2,13,"前世变体"
313,"精神状态良好",普通,2,3,3,3,2,13,"精神状态常见"
314,"发疯指数测试",普通,2,3,3,3,2,13,"发疯常见"
315,"摆烂大师",普通,2,3,3,3,2,13,"摆烂常见"
316,"测试你的怨气值",普通,2,3,3,3,2,13,"怨气分题"
317,"你的离谱超能力",普通,2,3,2,3,2,12,"超能力主题不新，共鸣弱"
318,"你的运气是什么天气",普通,2,3,2,3,2,12,"天气映射已多处出现，不新鲜"
319,"职场隐形技能",普通,2,2,3,3,2,12,"摸鱼相关，主题不新"
320,"带薪如厕时间管理大师",普通,1,3,3,3,2,12,"与#1带薪拉屎冠军高度重叠"
