来源,标签名,标签描述,状态,备注
批量02_41-73,历史人物同款懒,跟王阳明一样拖延，跟李白一样爱喝酒，普通人也有历史同款特质,重复,
批量02_41-73,睡觉姿势测命格,喜欢蜷缩睡是缺乏安全感，大字睡是天生乐天派，你的姿势对应啥命,重复,
批量02_41-73,收藏夹吃灰达人,看到干货就收藏，收藏了等于学会了，再也没打开过第二遍,重复,
批量02_41-73,洗发水用到底才换,日用品非要用到挤不出来才买新的，囤货等于永远用旧的,重复,
批量02_41-73,微信步数判行踪,看朋友微信步数就知道他今天上没上班，出没出门，比定位还准,重复,
批量02_41-73,听歌品味测年龄,歌单里占比最高的歌发行年份，基本就是你中学的年份,重复,
批量02_41-73,上辈子是守门石狮子,就喜欢在工位上坐着，不爱动也不爱说话，谁来都多看两眼,重复,
批量02_41-73,投胎当小区流浪猫,下辈子不用上班，每天晒晒太阳睡睡觉，还有好心人喂罐头,重复,
批量02_41-73,前世是驿站喂马的,这辈子就爱给同事取快递带外卖，跑腿的活干得比谁都熟,重复,
批量02_41-73,今日摸鱼运势,测测今天摸鱼会不会被老板抓，适合刷手机还是带薪拉屎,重复,
批量02_41-73,灵气值剩余检测,上班上久了灵气都没了，看看你还剩多少没被工作磨掉,重复,
批量02_41-73,月老红线缠脚了,桃花运迟迟不来，原来月老的红线全缠你脚腕上打了结,重复,
批量02_41-73,下辈子做冰箱,天天凉飕飕的，不用上班，里面还全是好吃的,重复,
批量02_41-73,暗恋等死型选手,喜欢一个人绝对不主动，就等着对方来跟自己表白，等黄了也不说,重复,
批量02_41-73,社交电池10%,出门社交两小时就得回家躺半天，电用完了谁叫都不出去,重复,
批量02_41-73,恋爱脑晚期患者,一谈恋爱就智商为零，对方说啥都信，撞了南墙都不回头,重复,
批量02_41-73,把天聊死小能手,别人抛过来的梗接不住，说两句话就冷场，自己还没察觉,重复,
批量02_41-73,朋友圈三天可见,发完朋友圈过半天就觉得尴尬，赶紧设成三天可见，删都懒得删,重复,
批量02_41-73,闺蜜恋爱军师,给朋友分析感情头头是道，轮到自己谈恋爱啥也不是,重复,
批量02_41-73,开会灵魂出窍,开会坐在第一排，眼神盯着老板，脑子已经在想晚上吃啥了,重复,
批量02_41-73,下班跑的比谁都快,下班铃一响第一个冲出去，电脑都来不及关，就怕老板临时加活,重复,
批量02_41-73,工位零食库管理员,工位抽屉里全是零食，自己没吃多少，全被同事分完了,重复,
批量02_41-73,改方案改到吐,甲方爸爸要改第八版方案，改到最后还是第一版最好,重复,
批量02_41-73,群聊潜水截图党,公司大群从来不说话，天天窥屏存同事发的表情包，转头就用,重复,
批量02_41-73,周一综合症重度,周日晚上就开始emo，周一早上坐在工位上魂还在家里,重复,
批量02_41-73,工资到账即清空,工资刚发下来，还完花呗信用卡房租，剩下的钱够吃泡面就不错,重复,
