编号,名称,分类,Emoji,描述,原始数据
25,"下辈子当什么交通工具","玄学运势","🚲","是共享单车（谁都能骑），是地铁（永远拥挤但准时），还是直升机（看着厉害但烧钱）。","{""name"":""下辈子当什么交通工具"",""category"":""玄学运势"",""emoji"":""🚲"",""description"":""是共享单车（谁都能骑），是地铁（永远拥挤但准时），还是直升机（看着厉害但烧钱）。""}"
26,"互联网考古学家","趣味整活","⛏️","擅长挖掘五年前的段子，并配上“谁懂”重新发布。","{""name"":""互联网考古学家"",""category"":""趣味整活"",""emoji"":""⛏️"",""description"":""擅长挖掘五年前的段子，并配上“谁懂”重新发布。""}"
27,"你的情绪是什么奶茶温度","性格搞怪","🌡️","表面去冰，内心滚烫，偶尔全糖偶尔无糖。","{""name"":""你的情绪是什么奶茶温度"",""category"":""性格搞怪"",""emoji"":""🌡️"",""description"":""表面去冰，内心滚烫，偶尔全糖偶尔无糖。""}"
28,"用追剧姿势看职场地位","逆天知识","🛋️","躺着看是老板，坐直了看是中层，跪着看是新人。","{""name"":""用追剧姿势看职场地位"",""category"":""逆天知识"",""emoji"":""🛋️"",""description"":""躺着看是老板，坐直了看是中层，跪着看是新人。""}"
29,"前世是什么无效社交","玄学运势","👥","是点赞之交，是拼多多砍一刀，还是那个“改天请你吃饭”。","{""name"":""前世是什么无效社交"",""category"":""玄学运势"",""emoji"":""👥"",""description"":""是点赞之交，是拼多多砍一刀，还是那个“改天请你吃饭”。""}"
30,"你是哪种待办事项","职场发疯","📋","高亮置顶紧急项、被无限推迟的长期项、还是已完成的但没人知道项。","{""name"":""你是哪种待办事项"",""category"":""职场发疯"",""emoji"":""📋"",""description"":""高亮置顶紧急项、被无限推迟的长期项、还是已完成的但没人知道项。""}"
31,"恋爱里的阅读理解得分","情感离谱","📖","对方发“哦”，你能写出一篇八千字中心思想解析。","{""name"":""恋爱里的阅读理解得分"",""category"":""情感离谱"",""emoji"":""📖"",""description"":""对方发“哦”，你能写出一篇八千字中心思想解析。""}"
32,"你的存在感是什么网络信号","性格搞怪","📡","在家人群是2G，在好友群是5G，在公司群是“对方不在服务区”。","{""name"":""你的存在感是什么网络信号"",""category"":""性格搞怪"",""emoji"":""📡"",""description"":""在家人群是2G，在好友群是5G，在公司群是“对方不在服务区”。""}"
33,"用超市购物车测人生轨迹","趣味整活","🛒","只买必需品是苦行僧，塞满零食是享乐派，推着空车逛三圈是哲学家。","{""name"":""用超市购物车测人生轨迹"",""category"":""趣味整活"",""emoji"":""🛒"",""description"":""只买必需品是苦行僧，塞满零食是享乐派，推着空车逛三圈是哲学家。""}"
34,"职场戏精的自我修养","职场发疯","🎬","“我在忙”的演技，决定了你今天能摸多久的鱼。","{""name"":""职场戏精的自我修养"",""category"":""职场发疯"",""emoji"":""🎬"",""description"":""“我在忙”的演技，决定了你今天能摸多久的鱼。""}"
35,"你的暗恋进度像什么下载任务","情感离谱","⏬","99%卡住，无法继续，也舍不得取消。","{""name"":""你的暗恋进度像什么下载任务"",""category"":""情感离谱"",""emoji"":""⏬"",""description"":""99%卡住，无法继续，也舍不得取消。""}"
36,"下辈子当什么云","玄学运势","☁️","是积雨云（爱哭），是卷云（飘忽不定），还是永远被挡住的底层云。","{""name"":""下辈子当什么云"",""category"":""玄学运势"",""emoji"":""☁️"",""description"":""是积雨云（爱哭），是卷云（飘忽不定），还是永远被挡住的底层云。""}"
37,"你是哪种会议室茶水","职场发疯","☕","第一杯被喝光的咖啡，无人问津的凉白开，还是泡到发苦的茶渣。","{""name"":""你是哪种会议室茶水"",""category"":""职场发疯"",""emoji"":""☕"",""description"":""第一杯被喝光的咖啡，无人问津的凉白开，还是泡到发苦的茶渣。""}"
38,"用手机电量类比社交能量","逆天知识","🔋","出门满电，见一个人掉20%，回家时必开省电模式。","{""name"":""用手机电量类比社交能量"",""category"":""逆天知识"",""emoji"":""🔋"",""description"":""出门满电，见一个人掉20%，回家时必开省电模式。""}"
39,"你的幽默感是什么格式","性格搞怪","😂","是GIF（动图才有效果），是JPG（冷梗图），还是损坏文件（只有自己懂）。","{""name"":""你的幽默感是什么格式"",""category"":""性格搞怪"",""emoji"":""😂"",""description"":""是GIF（动图才有效果），是JPG（冷梗图），还是损坏文件（只有自己懂）。""}"
40,"前世是什么部门什么角色","玄学运势","🏛️","上辈子在御膳房偷吃，这辈子在办公室摸鱼。","{""name"":""前世是什么部门什么角色"",""category"":""玄学运势"",""emoji"":""🏛️"",""description"":""上辈子在御膳房偷吃，这辈子在办公室摸鱼。""}"
41,"确诊为WiFi信号","性格搞怪","📶","时强时弱，人多就卡，关键时候总掉线。","{""name"":""确诊为WiFi信号"",""category"":""性格搞怪"",""emoji"":""📶"",""description"":""时强时弱，人多就卡，关键时候总掉线。""}"
42,"人生加载进度条","玄学运势","⏳","卡在99%的时间，比从0开始还长。","{""name"":""人生加载进度条"",""category"":""玄学运势"",""emoji"":""⏳"",""description"":""卡在99%的时间，比从0开始还长。""}"
43,"友谊的小船是什么材质","情感离谱","🚤","是纸折的，是铁打的，还是泡沫一戳就破。","{""name"":""友谊的小船是什么材质"",""category"":""情感离谱"",""emoji"":""🚤"",""description"":""是纸折的，是铁打的，还是泡沫一戳就破。""}"
44,"职场人设崩塌现场","职场发疯","🏚️","精心维持的靠谱形象，被一次手滑撤回彻底摧毁。","{""name"":""职场人设崩塌现场"",""category"":""职场发疯"",""emoji"":""🏚️"",""description"":""精心维持的靠谱形象，被一次手滑撤回彻底摧毁。""}"
45,"你的专属BGM是什么","趣味整活","🎵","走哪儿跟哪儿的背景音乐，通常是二胡或者唢呐。","{""name"":""你的专属BGM是什么"",""category"":""趣味整活"",""emoji"":""🎵"",""description"":""走哪儿跟哪儿的背景音乐，通常是二胡或者唢呐。""}"
46,"你的爱情像什么APP","情感离谱","📱","是闪退的bug，是加载中的转圈，还是永远匹配不到。","{""name"":""你的爱情像什么APP"",""category"":""情感离谱"",""emoji"":""📱"",""description"":""是闪退的bug，是加载中的转圈，还是永远匹配不到。""}"
47,"摸鱼时在平行世界做什么","职场发疯","🌌","此刻的你，在另一个时空可能正在拯救世界。","{""name"":""摸鱼时在平行世界做什么"",""category"":""职场发疯"",""emoji"":""🌌"",""description"":""此刻的你，在另一个时空可能正在拯救世界。""}"
48,"你的身体是什么版本","趣味整活","🔢","硬件老旧，软件冲突，还拒绝更新。","{""name"":""你的身体是什么版本"",""category"":""趣味整活"",""emoji"":""🔢"",""description"":""硬件老旧，软件冲突，还拒绝更新。""}"
49,"社交能量条还剩多少","性格搞怪","🔋","出门一趟耗电80%，回家充电两小时续航五分钟。","{""name"":""社交能量条还剩多少"",""category"":""性格搞怪"",""emoji"":""🔋"",""description"":""出门一趟耗电80%，回家充电两小时续航五分钟。""}"
50,"上辈子是什么动物","玄学运势","🐾","不是猫狗，是树懒、水豚或者平头哥。","{""name"":""上辈子是什么动物"",""category"":""玄学运势"",""emoji"":""🐾"",""description"":""不是猫狗，是树懒、水豚或者平头哥。""}"
51,"你的离谱超能力","趣味整活","🦸","不是飞也不是隐身，是总能赶上电梯门关上的最后一秒。","{""name"":""你的离谱超能力"",""category"":""趣味整活"",""emoji"":""🦸"",""description"":""不是飞也不是隐身，是总能赶上电梯门关上的最后一秒。""}"
52,"职场生存靠什么天赋","职场发疯","🧬","假装忙碌、选择性失明、以及精准的厕所timing。","{""name"":""职场生存靠什么天赋"",""category"":""职场发疯"",""emoji"":""🧬"",""description"":""假装忙碌、选择性失明、以及精准的厕所timing。""}"
53,"你的内心戏是什么类型片","性格搞怪","🎬","悬疑、苦情、科幻大片，就是没有纪录片。","{""name"":""你的内心戏是什么类型片"",""category"":""性格搞怪"",""emoji"":""🎬"",""description"":""悬疑、苦情、科幻大片，就是没有纪录片。""}"
54,"聊天记录考古学家","情感离谱","⛏️","能从三年前的群聊里，挖出今天的吵架素材。","{""name"":""聊天记录考古学家"",""category"":""情感离谱"",""emoji"":""⛏️"",""description"":""能从三年前的群聊里，挖出今天的吵架素材。""}"
55,"你的运气是什么天气","玄学运势","🌦️","局部有阵雨，偶尔晴转多云，常年不宜出门。","{""name"":""你的运气是什么天气"",""category"":""玄学运势"",""emoji"":""🌦️"",""description"":""局部有阵雨，偶尔晴转多云，常年不宜出门。""}"
56,"确诊为行走的弹幕","性格搞怪","💬","心里刷过的吐槽，比视频网站上的还密集。","{""name"":""确诊为行走的弹幕"",""category"":""性格搞怪"",""emoji"":""💬"",""description"":""心里刷过的吐槽，比视频网站上的还密集。""}"
57,"你的家庭地位是什么电器","趣味整活","🏠","是遥控器，是路由器，还是那个总被踢到的插排。","{""name"":""你的家庭地位是什么电器"",""category"":""趣味整活"",""emoji"":""🏠"",""description"":""是遥控器，是路由器，还是那个总被踢到的插排。""}"
58,"职场隐形技能","职场发疯","👁️","如何在领导眼皮底下，完成一局手机游戏。","{""name"":""职场隐形技能"",""category"":""职场发疯"",""emoji"":""👁️"",""description"":""如何在领导眼皮底下，完成一局手机游戏。""}"
59,"你的爱情兵法","情感离谱","📖","三十六计，走为上计；敌进我退，敌退我删。","{""name"":""你的爱情兵法"",""category"":""情感离谱"",""emoji"":""📖"",""description"":""三十六计，走为上计；敌进我退，敌退我删。""}"
60,"人生重启点在哪","玄学运势","🔄","是上次没保存的文档，还是那句没说出口的话。","{""name"":""人生重启点在哪"",""category"":""玄学运势"",""emoji"":""🔄"",""description"":""是上次没保存的文档，还是那句没说出口的话。""}"
61,"你的大脑是什么搜索引擎","逆天知识","🔍","正经事搜不到，犄角旮旯的八卦一秒弹出。","{""name"":""你的大脑是什么搜索引擎"",""category"":""逆天知识"",""emoji"":""🔍"",""description"":""正经事搜不到，犄角旮旯的八卦一秒弹出。""}"
62,"确诊为会议室盆栽","职场发疯","🪴","人在，但灵魂在光合作用。负责点缀，不负责发言。","{""name"":""确诊为会议室盆栽"",""category"":""职场发疯"",""emoji"":""🪴"",""description"":""人在，但灵魂在光合作用。负责点缀，不负责发言。""}"
63,"你的社交面具有几层","性格搞怪","🎭","对同事一层，对家人一层，对快递小哥又是另一层。","{""name"":""你的社交面具有几层"",""category"":""性格搞怪"",""emoji"":""🎭"",""description"":""对同事一层，对家人一层，对快递小哥又是另一层。""}"
64,"你的手机相册是什么主题","趣味整活","📸","截图博物馆、猫片合集、和一堆忘了为什么拍的东西。","{""name"":""你的手机相册是什么主题"",""category"":""趣味整活"",""emoji"":""📸"",""description"":""截图博物馆、猫片合集、和一堆忘了为什么拍的东西。""}"
65,"你的拖延症是什么形态","性格搞怪","🦥","是火山爆发前夜，还是永无止境的“明天再说”。","{""name"":""你的拖延症是什么形态"",""category"":""性格搞怪"",""emoji"":""🦥"",""description"":""是火山爆发前夜，还是永无止境的“明天再说”。""}"
66,"职场食物链你在哪一层","职场发疯","🦈","是顶端掠食者，是浮游生物，还是负责分解的。","{""name"":""职场食物链你在哪一层"",""category"":""职场发疯"",""emoji"":""🦈"",""description"":""是顶端掠食者，是浮游生物，还是负责分解的。""}"
67,"你的暗恋像什么地下工作","情感离谱","🕵️","线索埋得深，行动全靠猜，结局通常是自我瓦解。","{""name"":""你的暗恋像什么地下工作"",""category"":""情感离谱"",""emoji"":""🕵️"",""description"":""线索埋得深，行动全靠猜，结局通常是自我瓦解。""}"
68,"你的财运是什么交通方式","玄学运势","🚗","是堵在路上，是错过班车，还是根本就没买票。","{""name"":""你的财运是什么交通方式"",""category"":""玄学运势"",""emoji"":""🚗"",""description"":""是堵在路上，是错过班车，还是根本就没买票。""}"
69,"确诊为过期罐头","性格搞怪","🥫","外表完好，内在微妙，不知道还能不能打开。","{""name"":""确诊为过期罐头"",""category"":""性格搞怪"",""emoji"":""🥫"",""description"":""外表完好，内在微妙，不知道还能不能打开。""}"
70,"职场必杀技冷却时间","职场发疯","❄️","一次爆发性输出后，需要躺平三天回蓝。","{""name"":""职场必杀技冷却时间"",""category"":""职场发疯"",""emoji"":""❄️"",""description"":""一次爆发性输出后，需要躺平三天回蓝。""}"
71,"你的QQ宠物转世","玄学运势","🐧","那只饿死又复活的企鹅，这辈子投胎成了什么","{""name"":""你的QQ宠物转世"",""category"":""玄学运势"",""emoji"":""🐧"",""description"":""那只饿死又复活的企鹅，这辈子投胎成了什么""}"
72,"塑料友情防弹等级","情感离谱","🛡️","表面笑嘻嘻，背后连拼多多都不帮你砍一刀","{""name"":""塑料友情防弹等级"",""category"":""情感离谱"",""emoji"":""🛡️"",""description"":""表面笑嘻嘻，背后连拼多多都不帮你砍一刀""}"
73,"跟历史人物的适配度","逆天知识","👥","你的性格最适合给哪位皇帝当谏官（并大概率被砍头）","{""name"":""跟历史人物的适配度"",""category"":""逆天知识"",""emoji"":""👥"",""description"":""你的性格最适合给哪位皇帝当谏官（并大概率被砍头）""}"
74,"前世的未了微信好友申请","情感离谱","👻","孟婆汤喝了，但那个红色未读提示跟过来了","{""name"":""前世的未了微信好友申请"",""category"":""情感离谱"",""emoji"":""👻"",""description"":""孟婆汤喝了，但那个红色未读提示跟过来了""}"
75,"你的职场寿命还剩几天","玄学运势","⏳","根据本月收到‘在吗’的次数和老板微笑频率计算","{""name"":""你的职场寿命还剩几天"",""category"":""玄学运势"",""emoji"":""⏳"",""description"":""根据本月收到‘在吗’的次数和老板微笑频率计算""}"
76,"暧昧对象是哪种NPC","情感离谱","🗺️","只会重复三句话的，还是给你发永远完不成的任务的","{""name"":""暧昧对象是哪种NPC"",""category"":""情感离谱"",""emoji"":""🗺️"",""description"":""只会重复三句话的，还是给你发永远完不成的任务的""}"
77,"会议中的角色扮演","职场发疯","🎬","你是点头机器、灵魂出窍者，还是那个突然被Q到的倒霉蛋","{""name"":""会议中的角色扮演"",""category"":""职场发疯"",""emoji"":""🎬"",""description"":""你是点头机器、灵魂出窍者，还是那个突然被Q到的倒霉蛋""}"
78,"确诊为手机电量","性格搞怪","🔋","早上满格，下午预警，晚上靠充电宝续命","{""name"":""确诊为手机电量"",""category"":""性格搞怪"",""emoji"":""🔋"",""description"":""早上满格，下午预警，晚上靠充电宝续命""}"
79,"你的废话能量等级","趣味整活","💬","能从‘吃了吗’聊到宇宙大爆炸，中间毫无逻辑","{""name"":""你的废话能量等级"",""category"":""趣味整活"",""emoji"":""💬"",""description"":""能从‘吃了吗’聊到宇宙大爆炸，中间毫无逻辑""}"
80,"从走路姿势看朝代","逆天知识","🚶","风风火火像赶着上朝的，晃晃悠悠像退休的员外","{""name"":""从走路姿势看朝代"",""category"":""逆天知识"",""emoji"":""🚶"",""description"":""风风火火像赶着上朝的，晃晃悠悠像退休的员外""}"
81,"下辈子是什么垃圾","玄学运势","🗑️","可回收（还有用）、干垃圾（凑合过）、有害垃圾（快跑）","{""name"":""下辈子是什么垃圾"",""category"":""玄学运势"",""emoji"":""🗑️"",""description"":""可回收（还有用）、干垃圾（凑合过）、有害垃圾（快跑）""}"
82,"朋友群的聊天定位","情感离谱","📍","话题发起者、捧场哈哈怪，还是那个永远已读不回的","{""name"":""朋友群的聊天定位"",""category"":""情感离谱"",""emoji"":""📍"",""description"":""话题发起者、捧场哈哈怪，还是那个永远已读不回的""}"
83,"你的大脑是什么浏览器","趣味整活","🌐","IE（反应慢）、Chrome（标签页开太多）、Safari（看起来高级）","{""name"":""你的大脑是什么浏览器"",""category"":""趣味整活"",""emoji"":""🌐"",""description"":""IE（反应慢）、Chrome（标签页开太多）、Safari（看起来高级）""}"
84,"用点菜方式看统治风格","逆天知识","📋","‘随便’是昏君，‘都来一份’是暴君，‘听你的’是傀儡皇帝","{""name"":""用点菜方式看统治风格"",""category"":""逆天知识"",""emoji"":""📋"",""description"":""‘随便’是昏君，‘都来一份’是暴君，‘听你的’是傀儡皇帝""}"
85,"你的阳寿被什么扣完了","玄学运势","➖","熬夜、生气，还是刷到弱智视频时的那句‘我服了’","{""name"":""你的阳寿被什么扣完了"",""category"":""玄学运势"",""emoji"":""➖"",""description"":""熬夜、生气，还是刷到弱智视频时的那句‘我服了’""}"
86,"恋爱像在玩什么游戏","情感离谱","🎮","恋爱养成（慢）、恐怖游戏（惊）、扫雷（一踩就炸）","{""name"":""恋爱像在玩什么游戏"",""category"":""情感离谱"",""emoji"":""🎮"",""description"":""恋爱养成（慢）、恐怖游戏（惊）、扫雷（一踩就炸）""}"
87,"办公室食物链位置","职场发疯","🦁","顶层掠食者、中层打工人，还是底层负责背锅的浮游生物","{""name"":""办公室食物链位置"",""category"":""职场发疯"",""emoji"":""🦁"",""description"":""顶层掠食者、中层打工人，还是底层负责背锅的浮游生物""}"
88,"确诊为薛定谔的猫","性格搞怪","🐱","又懒又勤快，又社恐又话痨，取决于有没有人观察你","{""name"":""确诊为薛定谔的猫"",""category"":""性格搞怪"",""emoji"":""🐱"",""description"":""又懒又勤快，又社恐又话痨，取决于有没有人观察你""}"
89,"你的笑声像什么乐器","趣味整活","🎺","杠铃般的铜管乐，还是鹅叫般的破音木笛","{""name"":""你的笑声像什么乐器"",""category"":""趣味整活"",""emoji"":""🎺"",""description"":""杠铃般的铜管乐，还是鹅叫般的破音木笛""}"
90,"从起床气判断武将类型","逆天知识","⚔️","睁眼就要砍人的是猛将，赖床不起的是谋士（在思考）","{""name"":""从起床气判断武将类型"",""category"":""逆天知识"",""emoji"":""⚔️"",""description"":""睁眼就要砍人的是猛将，赖床不起的是谋士（在思考）""}"
91,"上辈子存的功德余额","玄学运势","💰","查看你这辈子的好运是阔绰还是欠费状态","{""name"":""上辈子存的功德余额"",""category"":""玄学运势"",""emoji"":""💰"",""description"":""查看你这辈子的好运是阔绰还是欠费状态""}"
92,"你的工位风水怎么样","职场发疯","🧭","对着厕所（煞气重）、对着老板（压力大）、对着空调（冷热交替）","{""name"":""你的工位风水怎么样"",""category"":""职场发疯"",""emoji"":""🧭"",""description"":""对着厕所（煞气重）、对着老板（压力大）、对着空调（冷热交替）""}"
93,"确诊为二手市场","性格搞怪","🏪","什么功能都有点，但都不太好使，还总被砍价","{""name"":""确诊为二手市场"",""category"":""性格搞怪"",""emoji"":""🏪"",""description"":""什么功能都有点，但都不太好使，还总被砍价""}"
94,"你的大脑后台程序","趣味整活","💻","80%在播放昨晚的尴尬回忆，20%在思考中午吃什么","{""name"":""你的大脑后台程序"",""category"":""趣味整活"",""emoji"":""💻"",""description"":""80%在播放昨晚的尴尬回忆，20%在思考中午吃什么""}"
95,"用赖床理由推测历史事件","逆天知识","🛌","‘再睡五分钟’导致早朝迟到，间接引发王朝覆灭","{""name"":""用赖床理由推测历史事件"",""category"":""逆天知识"",""emoji"":""🛌"",""description"":""‘再睡五分钟’导致早朝迟到，间接引发王朝覆灭""}"
96,"下辈子的出生点","玄学运势","📍","罗马、新手村，还是直接掉进粪坑里","{""name"":""下辈子的出生点"",""category"":""玄学运势"",""emoji"":""📍"",""description"":""罗马、新手村，还是直接掉进粪坑里""}"
97,"暗恋像在玩什么","情感离谱","🎣","单机游戏（自己演）、钓鱼（愿者上钩）、扫雷（不敢动）","{""name"":""暗恋像在玩什么"",""category"":""情感离谱"",""emoji"":""🎣"",""description"":""单机游戏（自己演）、钓鱼（愿者上钩）、扫雷（不敢动）""}"
98,"职场隐身术修炼等级","职场发疯","👤","完美融入背景板，还是‘虽然看不见但活都是你干的’","{""name"":""职场隐身术修炼等级"",""category"":""职场发疯"",""emoji"":""👤"",""description"":""完美融入背景板，还是‘虽然看不见但活都是你干的’""}"
99,"工位上的神秘失踪事件","职场发疯","🕵️","笔、零食、充电器，总在你最需要的时候人间蒸发。","{""name"":""工位上的神秘失踪事件"",""category"":""职场发疯"",""emoji"":""🕵️"",""description"":""笔、零食、充电器，总在你最需要的时候人间蒸发。""}"
100,"下辈子投胎成什么岗位","玄学运势","🧑‍💼","不是CEO，是公司饮水机，负责听八卦和被人摸鱼时盯着看。","{""name"":""下辈子投胎成什么岗位"",""category"":""玄学运势"",""emoji"":""🧑‍💼"",""description"":""不是CEO，是公司饮水机，负责听八卦和被人摸鱼时盯着看。""}"
101,"社交电池容量","情感离谱","🔋","出门一趟掉电80%，回家充电需要独处48小时。","{""name"":""社交电池容量"",""category"":""情感离谱"",""emoji"":""🔋"",""description"":""出门一趟掉电80%，回家充电需要独处48小时。""}"
102,"给Wi-Fi分配MBTI","趣味整活","📶","你家网络是ENTP（爱辩论，时连时断）还是ISFJ（稳定但慢，默默奉献）？","{""name"":""给Wi-Fi分配MBTI"",""category"":""趣味整活"",""emoji"":""📶"",""description"":""你家网络是ENTP（爱辩论，时连时断）还是ISFJ（稳定但慢，默默奉献）？""}"
103,"你是哪个朝代的民间专家","逆天知识","📜","精通宋代外卖配送体系，或者明代八卦周刊排版。","{""name"":""你是哪个朝代的民间专家"",""category"":""逆天知识"",""emoji"":""📜"",""description"":""精通宋代外卖配送体系，或者明代八卦周刊排版。""}"
104,"灵气复苏后你的本体","玄学运势","✨","不是神兽，是写字楼里一株靠着咖啡因续命的绿萝。","{""name"":""灵气复苏后你的本体"",""category"":""玄学运势"",""emoji"":""✨"",""description"":""不是神兽，是写字楼里一株靠着咖啡因续命的绿萝。""}"
