编号,名称,分类,Emoji,描述,相似组,建议操作
67,友谊的小船是什么材质,情感离谱,🚤,是纸折的，是铁打的，还是泡沫一戳就破。,,
68,职场人设崩塌现场,职场发疯,🏚️,精心维持的靠谱形象，被一次手滑撤回彻底摧毁。,,
69,你的专属BGM是什么,趣味整活,🎵,走哪儿跟哪儿的背景音乐，通常是二胡或者唢呐。,,
70,确诊为二手市场,性格搞怪,🛒,脑子里堆满了别人的观点和过期的情绪。,G023,
71,你的爱情像什么APP,情感离谱,📱,是闪退的bug，是加载中的转圈，还是永远匹配不到。,,
72,摸鱼时在平行世界做什么,职场发疯,🌌,此刻的你，在另一个时空可能正在拯救世界。,,
73,你的身体是什么版本,趣味整活,🔢,硬件老旧，软件冲突，还拒绝更新。,,
74,社交能量条还剩多少,性格搞怪,🔋,出门一趟耗电80%，回家充电两小时续航五分钟。,,
75,上辈子是什么动物,玄学运势,🐾,不是猫狗，是树懒、水豚或者平头哥。,G024,
76,你的离谱超能力,趣味整活,🦸,不是飞也不是隐身，是总能赶上电梯门关上的最后一秒。,,
77,职场生存靠什么天赋,职场发疯,🧬,假装忙碌、选择性失明、以及精准的厕所timing。,,
78,你的内心戏是什么类型片,性格搞怪,🎬,悬疑、苦情、科幻大片，就是没有纪录片。,,
79,聊天记录考古学家,情感离谱,⛏️,能从三年前的群聊里，挖出今天的吵架素材。,,
80,你的运气是什么天气,玄学运势,🌦️,局部有阵雨，偶尔晴转多云，常年不宜出门。,,
81,确诊为行走的弹幕,性格搞怪,💬,心里刷过的吐槽，比视频网站上的还密集。,,
82,你的家庭地位是什么电器,趣味整活,🏠,是遥控器，是路由器，还是那个总被踢到的插排。,,
83,职场隐形技能,职场发疯,👁️,如何在领导眼皮底下，完成一局手机游戏。,,
84,你的爱情兵法,情感离谱,📖,三十六计，走为上计；敌进我退，敌退我删。,,
85,人生重启点在哪,玄学运势,🔄,是上次没保存的文档，还是那句没说出口的话。,,
86,你的大脑是什么搜索引擎,逆天知识,🔍,正经事搜不到，犄角旮旯的八卦一秒弹出。,,
87,确诊为会议室盆栽,职场发疯,🪴,人在，但灵魂在光合作用。负责点缀，不负责发言。,,
88,你的社交面具有几层,性格搞怪,🎭,对同事一层，对家人一层，对快递小哥又是另一层。,,
89,你的手机相册是什么主题,趣味整活,📸,截图博物馆、猫片合集、和一堆忘了为什么拍的东西。,,
90,你的拖延症是什么形态,性格搞怪,🦥,是火山爆发前夜，还是永无止境的“明天再说”。,,
91,职场食物链你在哪一层,职场发疯,🦈,是顶端掠食者，是浮游生物，还是负责分解的。,,
92,你的暗恋像什么地下工作,情感离谱,🕵️,线索埋得深，行动全靠猜，结局通常是自我瓦解。,,
93,你的财运是什么交通方式,玄学运势,🚗,是堵在路上，是错过班车，还是根本就没买票。,,
94,确诊为过期罐头,性格搞怪,🥫,外表完好，内在微妙，不知道还能不能打开。,G025,
95,你的幽默感是什么方言,趣味整活,😂,只有自己听得懂，讲出来全场冷场。,G019,
96,职场必杀技冷却时间,职场发疯,❄️,一次爆发性输出后，需要躺平三天回蓝。,,
97,你的QQ宠物转世,玄学运势,🐧,那只饿死又复活的企鹅，这辈子投胎成了什么,,
98,塑料友情防弹等级,情感离谱,🛡️,表面笑嘻嘻，背后连拼多多都不帮你砍一刀,G001,
99,领带薪拉屎冠军,职场发疯,👑,计算你在厕所为公司创造的时间价值,G002,
100,废话大师鉴定,趣味整活,🗣️,一句话能说完的事，你非分三句，还带个表情包,G003,
101,前世是什么外卖,玄学运势,🍱,黄焖鸡米饭、麻辣香锅还是永远在路上的奶茶,G004,
102,在同事群聊备注里,职场发疯,📝,你以为你叫本名，其实你是‘那个总问问题的’,G006,
103,确诊为Wi-Fi信号,性格搞怪,📶,时强时弱，关键时候总掉线，还老让人想重启你,G021,
104,用睡觉姿势推测历史地位,逆天知识,💤,蜷缩是亡国之君，大字型是开国皇帝,G005,
105,恋爱中的离谱角色,情感离谱,🎭,你是那个永远读不懂空气的，还是那个自己加戏的,G008,
106,投胎成什么家用电器,玄学运势,🔌,扫地机器人（劳碌命）还是空气炸锅（看起来厉害）,G013,
107,证明今天的班白上了,职场发疯,📄,下班前五分钟被拉进会议，并被告知‘明天再说’,G007,
108,你的精神宠物是什么,趣味整活,🐾,脑子里住着一只随时躺平的树懒，还是一只焦虑的仓鼠,G020,
109,前世是什么部门的,玄学运势,🏛️,御膳房切菜的，还是翰林院写废话奏折的,G004,
110,跟历史人物的适配度,逆天知识,👥,你的性格最适合给哪位皇帝当谏官（并大概率被砍头）,G010,
111,前世的未了微信好友申请,情感离谱,👻,孟婆汤喝了，但那个红色未读提示跟过来了,G011,
112,在同事眼里是什么人设,职场发疯,🎪,靠谱的冤大头，还是神秘的摸鱼侠,G012,
113,确诊为过期酸奶,性格搞怪,🥛,表面平静，内里已经发酵成一团不可名状之物,G025,
114,你的QQ号转世成什么,趣味整活,9️⃣,一串数字决定了你下辈子是锦鲤还是清道夫,G009,
115,用奶茶配料测性格,逆天知识,🧋,波霸是外向，椰果是务实，啥都要的是选择困难,G014,
116,你的职场寿命还剩几天,玄学运势,⏳,根据本月收到‘在吗’的次数和老板微笑频率计算,,
117,暧昧对象是哪种NPC,情感离谱,🗺️,只会重复三句话的，还是给你发永远完不成的任务的,,
118,会议中的角色扮演,职场发疯,🎬,你是点头机器、灵魂出窍者，还是那个突然被Q到的倒霉蛋,,
119,确诊为手机电量,性格搞怪,🔋,早上满格，下午预警，晚上靠充电宝续命,,
120,你的废话能量等级,趣味整活,💬,能从‘吃了吗’聊到宇宙大爆炸，中间毫无逻辑,,
121,从走路姿势看朝代,逆天知识,🚶,风风火火像赶着上朝的，晃晃悠悠像退休的员外,,
122,下辈子是什么垃圾,玄学运势,🗑️,可回收（还有用）、干垃圾（凑合过）、有害垃圾（快跑）,,
123,朋友群的聊天定位,情感离谱,📍,话题发起者、捧场哈哈怪，还是那个永远已读不回的,,
124,带薪如厕时间管理大师,职场发疯,⏱️,精确计算老板动向后，发起长达二十分钟的厕所远征,G026,
125,确诊为路由器,性格搞怪,🛜,一堆人连着你，时不时还要求你重启一下,G027,
126,你的大脑是什么浏览器,趣味整活,🌐,IE（反应慢）、Chrome（标签页开太多）、Safari（看起来高级）,,
127,用点菜方式看统治风格,逆天知识,📋,‘随便’是昏君，‘都来一份’是暴君，‘听你的’是傀儡皇帝,,
128,你的阳寿被什么扣完了,玄学运势,➖,熬夜、生气，还是刷到弱智视频时的那句‘我服了’,,
129,恋爱像在玩什么游戏,情感离谱,🎮,恋爱养成（慢）、恐怖游戏（惊）、扫雷（一踩就炸）,,
130,办公室食物链位置,职场发疯,🦁,顶层掠食者、中层打工人，还是底层负责背锅的浮游生物,,
131,确诊为薛定谔的猫,性格搞怪,🐱,又懒又勤快，又社恐又话痨，取决于有没有人观察你,,
132,你的笑声像什么乐器,趣味整活,🎺,杠铃般的铜管乐，还是鹅叫般的破音木笛,,
133,从起床气判断武将类型,逆天知识,⚔️,睁眼就要砍人的是猛将，赖床不起的是谋士（在思考）,,
134,上辈子存的功德余额,玄学运势,💰,查看你这辈子的好运是阔绰还是欠费状态,,
135,友情里的工具人指数,情感离谱,🛠️,修图、搬家、情感咨询，随叫随到，用完就晾一边,G017,
136,你的工位风水怎么样,职场发疯,🧭,对着厕所（煞气重）、对着老板（压力大）、对着空调（冷热交替）,G028,
137,确诊为二手市场,性格搞怪,🏪,什么功能都有点，但都不太好使，还总被砍价,G023,
138,你的大脑后台程序,趣味整活,💻,80%在播放昨晚的尴尬回忆，20%在思考中午吃什么,G022,
139,用赖床理由推测历史事件,逆天知识,🛌,‘再睡五分钟’导致早朝迟到，间接引发王朝覆灭,,
140,下辈子的出生点,玄学运势,📍,罗马、新手村，还是直接掉进粪坑里,,
141,暗恋像在玩什么,情感离谱,🎣,单机游戏（自己演）、钓鱼（愿者上钩）、扫雷（不敢动）,,
142,职场隐身术修炼等级,职场发疯,👤,完美融入背景板，还是‘虽然看不见但活都是你干的’,G029,
143,你的精神宠物,趣味整活,🐿️,别人养猫养狗，你养的是脑子里那个24小时不睡觉的玩意儿。,G020,
144,废话大师鉴定,逆天知识,🗣️,能把“今天天气不错”说成一篇500字小作文，说的就是你。,G003,
145,前世是什么外卖,玄学运势,🍱,上辈子可能是一份黄焖鸡米饭，被点了又点，永远在送达的路上。,G004,
146,恋爱中的离谱角色,情感离谱,🎭,不是主角，是那个在主角旁边负责递水、说错话、然后被观众记住的配角。,G008,
147,工位上的神秘失踪事件,职场发疯,🕵️,笔、零食、充电器，总在你最需要的时候人间蒸发。,G030,
148,慢性待机,性格搞怪,⏳,开机五分钟，加载两小时，说的不是电脑，是你。,G031,
149,你的QQ号转世成什么,趣味整活,💻,一串数字的轮回，可能是路灯，也可能是你老板的咖啡杯。,G009,
150,用睡觉姿势推测历史地位,逆天知识,🛌,蜷成虾米的是军师，四仰八叉的是将军，抱着被子滚来滚去的是亡国皇帝。,G005,
151,下辈子投胎成什么岗位,玄学运势,🧑‍💼,不是CEO，是公司饮水机，负责听八卦和被人摸鱼时盯着看。,G032,
152,社交电池容量,情感离谱,🔋,出门一趟掉电80%，回家充电需要独处48小时。,G033,
153,证明今天的班白上了,职场发疯,📄,忙了一天，最后只产出了一份名为“工作总结.docx”的空白文档。,G007,
154,床头水杯数量,性格搞怪,🥛,永远有三个半满的水杯，一个昨晚的，一个今早的，一个不知道哪天的。,G034,
155,给Wi-Fi分配MBTI,趣味整活,📶,你家网络是ENTP（爱辩论，时连时断）还是ISFJ（稳定但慢，默默奉献）？,,
156,你是哪个朝代的民间专家,逆天知识,📜,精通宋代外卖配送体系，或者明代八卦周刊排版。,,
157,灵气复苏后你的本体,玄学运势,✨,不是神兽，是写字楼里一株靠着咖啡因续命的绿萝。,G035,
158,塑料友情鉴定,情感离谱,🛍️,点赞之交是薄塑料袋，能借钱的是加厚款，但都怕火。,G036,
159,开会时的真实脑内活动,职场发疯,💭,表面在记笔记，心里在给每个发言的人配BGM。,,
160,备忘录人格,性格搞怪,📝,里面记满了“突然想到的绝妙点子”，第二天看像外星文。,,
161,你的手机相册是什么垃圾场,趣味整活,🗑️,截图废料、模糊风景、和八百张角度一样的自拍。,,
162,通过奶茶订单反推人生,逆天知识,🧋,全糖是年少轻狂，三分糖是向生活妥协，去冰是最后的倔强。,,
163,上辈子是什么部门的,玄学运势,🏛️,不是皇宫，是县衙里管档案的，专门给卷宗盖章盖到手抽筋。,G024,
164,暗恋表达流派,情感离谱,🎨,主动出击型、等天降型、在对方朋友圈考古型、以及自我感动到死型。,,
165,下班前最后五分钟,职场发疯,⏰,时间在这里发生相对论效应，一秒被拉得像一个世纪那么长。,G037,
166,确诊为路由器,性格搞怪,📡,看起来很重要，其实谁都想踢你一脚，而且总在深夜被抱怨信号不好。,G027,
167,你的表情包灵魂伴侣,趣味整活,😈,那个你用得最顺手、最能代表你内心阴暗面的表情，找到了吗？,G038,
168,冷门生活技巧持有者,逆天知识,🔧,比如，你知道怎么用一张纸让蚊子自杀。,,
169,今日运势（准不准你说了算）,玄学运势,🔮,宜：躺在床上；忌：起床。准了请打钱，不准是你心不诚。,,
170,朋友群里的备注名,情感离谱,🏷️,在对方手机里，你可能不叫本名，叫“周五火锅搭子”或“借钱拉黑那位”。,,
171,摸鱼时创造的副业,职场发疯,🎨,用公司电脑写的网络小说，画的摸鱼小漫画，或者研究的彩票号码规律。,,
172,把天聊死锦标赛冠军,性格搞怪,🏆,一句话就能让热闹的群聊瞬间安静，这是一种天赋。,,
173,如果家具会说话,趣味整活,🛋️,你的沙发会对你的躺平姿势做出什么锐评？,,
174,你的外卖人格,逆天知识,🍔,连续一周点同一家店同一种饭，这不是专一，是系统论里的“路径依赖”。,G039,
175,投胎成什么家用电器,玄学运势,🔌,可能是空调，夏天被需要冬天被遗忘；也可能是灯泡，总在关键时刻坏掉。,G013,
176,未发送消息收藏家,情感离谱,📨,对话框里打了又删的话，比发出去的真心一百倍。,,
177,办公室神秘音源,职场发疯,👻,永远不知道是谁的肚子在叫，键盘敲得最响，以及叹气声穿透力最强。,,
178,深夜思想家,性格搞怪,🤔,白天：嗯嗯好的。凌晨三点：宇宙的尽头是什么？,,
179,你的互联网人格,趣味整活,🌐,现实唯唯诺诺，网上重拳出击，账号切换比川剧变脸还快。,G016,
180,通过歌单诊断人生阶段,逆天知识,🎵,青春伤痛、电子蹦迪、养生佛经，你的播放列表就是你的心电图。,G040,
181,前世未了的微信好友申请,玄学运势,👻,孟婆汤没洗掉的那个红色小点，这辈子还在等一个通过。,G011,
182,友情中的工具人指数,情感离谱,🛠️,修电脑、搬家、情感咨询，随叫随到，用完就放回“朋友”这个文件夹。,G017,
183,职场隐身术等级,职场发疯,🧥,如何在开会时完美隐藏自己，让领导点名时自动跳过你。,G029,
184,选择性耳聋,性格搞怪,👂,妈妈喊吃饭听不见，零食包装袋响了一下立刻闪现。,,
185,你的大脑是什么垃圾处理器,趣味整活,🧠,正经事记不住，十年前的尴尬瞬间循环播放。,,
186,你是哪种民间传说生物,逆天知识,🐉,不是龙，是那种专偷袜子、让Wi-Fi变慢的灶台小精灵。,,
187,本周功德收支表,玄学运势,📊,扶了老奶奶+1，心里骂了老板-10086，目前功德严重赤字。,,
188,恋爱中的阅读理解,情感离谱,📚,对方发个句号，你能写出一篇五千字的中心思想分析。,,
189,带薪如厕时间管理大师,职场发疯,🚽,精确计算每天最划算的摸鱼时段，并形成肌肉记忆。,G026,
190,内心戏独角戏演员,性格搞怪,🎬,洗澡时是歌王，走路时是战神，实际见面时是哑巴。,,
191,周一早八的怨气,职场发疯,😤,不是不想上班，是不想周一上班,G041,
192,周末失忆症,性格搞怪,🧠,周五晚上计划满满，周日晚上只想躺着,G042,
193,工位结界,职场发疯,🛡️,戴上耳机，世界与我无关，除非领导喊我,,
194,摸鱼时间管理大师,职场发疯,⏱️,精准计算领导路过工位的时间，并切换屏幕,G043,
195,下班前五分钟相对论,职场发疯,⏳,这五分钟，比白天八小时都漫长,,
196,咖啡续命鉴定,职场发疯,☕,今天第几杯了？不喝这口，脑子就开不了机,,
197,周末充电宝,性格搞怪,🔋,电量只够撑到周三，周末是唯一的充电口,,
198,会议灵魂出窍,职场发疯,👻,身体在会议室，灵魂在盘算晚上吃啥,G044,
199,你的摸鱼流派,趣味整活,🎣,是假装忙碌型，还是光明正大型，还是厕所战神型,G045,
200,前世是哪个部门的,玄学运势,📜,上辈子可能也是打工人，在哪个衙门当差,G004,
201,加班功德,玄学运势,🙏,积攒的加班时长，下辈子能兑换成什么,,
202,周末人格分裂,性格搞怪,🎭,白天发誓要改变世界，晚上瘫着刷手机到两点,,
203,你的职场保护色,趣味整活,🦎,是透明人，还是气氛组，还是背锅侠,,
204,PPT驯兽师,职场发疯,🎪,把一堆废话和图表，驯服成能看的形状,,
205,深夜改稿的怨灵,玄学运势,👹,凌晨两点还在改第8版，灵魂已经出窍,,
206,你的周末重启方式,趣味整活,🔄,是彻底躺平，还是报复性玩耍，还是假装没周末,,
207,工位失踪物品图鉴,逆天知识,🔍,笔、零食、充电器…总在需要的时候神秘消失,,
208,你的精神年假,玄学运势,🏝️,大脑在放假的次数，比实际休假多多了,G020,
209,职场塑料友情鉴定,情感离谱,🥤,点赞之交，奶茶之交，还是真能一起骂领导,G036,
210,下班后失联等级,性格搞怪,📵,消息秒回，还是已读不回，还是直接人间蒸发,,
211,你的KPI是啥,趣味整活,📊,人生的KPI，可能是今天成功摸鱼不被发现,,
212,周末焦虑症,情感离谱,😰,周日晚上开始心慌，感觉明天就要上刑场,G042,
213,你的摸鱼搭子,情感离谱,🤝,那个一起上厕所、一起下楼拿快递的革命战友,G045,
214,前世加班猝死鉴定,玄学运势,💀,这辈子这么怕加班，是不是上辈子有阴影,,
215,你的工作待机模式,性格搞怪,💤,看起来在干活，其实大脑在待机，等下班指令,,
216,通勤路上的修行,逆天知识,🚇,挤地铁练就的缩骨功和面无表情神功,,
217,你的职场人设,趣味整活,🎨,是靠谱老黄牛，还是摸鱼小能手，还是背锅预备役,G046,
218,周末外卖人格,性格搞怪,🍱,是精心做饭，还是躺平点外卖，还是饿到不行再点,G039,
219,你的怨气收集器,职场发疯,📦,工位上的某个小物件，专门吸收你的负能量,,
220,下班后回血速度,逆天知识,💉,有人需要一整晚，有人出公司门就满血复活,,
221,你的摸鱼BGM,趣味整活,🎵,戴上耳机听什么，决定了你今天的摸鱼质量,,
222,职场小强命格,玄学运势,🪳,怎么骂都骂不走，怎么卷都卷不死，生命力顽强,,
223,周末计划破产专家,性格搞怪,🏦,计划很丰满，执行很骨感，最后都在床上度过,,
224,你的请假理由库,逆天知识,🗂️,从“肚子疼”到“家里有事”，你的储备有多丰富,,
225,深夜加班emo等级,情感离谱,🌃,从怀疑人生，到想立刻辞职，到麻木地继续敲键盘,,
226,你的工位风水,玄学运势,🧧,座位朝向，决定了你今天的摸鱼运势和挨骂概率,G028,
227,周末社交电池容量,情感离谱,🔋,出门见朋友是充电还是耗电，决定了周末怎么过,G033,
228,你的职场替身,趣味整活,👤,想象中那个在认真工作的你，和实际上的你,G046,
229,摸鱼时的大脑活动,逆天知识,🧠,表面在回邮件，内心在策划晚上吃火锅还是烧烤,,
230,你的下班仪式感,性格搞怪,🎉,是关电脑的瞬间，是打卡的声音，还是走出大楼的那口气,,
231,前世是摸鱼达人吗,玄学运势,🎣,这辈子这么会摸，是不是上辈子练过,,
232,职场隐形人修炼手册,职场发疯,👻,如何降低存在感，让领导忘记给你派活,,
233,周末时间膨胀现象,逆天知识,🕰️,感觉刚放假，怎么就周一了？时间被谁偷走了,,
234,你的精神离职日期,情感离谱,📅,身体还在上班，灵魂的离职申请已经交了一百遍,,
235,工位零食生态学,趣味整活,🍫,你的抽屉里，藏着怎样一个完整的零食生态系统,,
236,加班福报转化率,玄学运势,💰,加的班，有多少能真正变成福报（比如调休）,,
237,你的周末重启键在哪,性格搞怪,🔘,是睡到自然醒，是喝一杯奶茶，还是彻底打扫房间,,
238,你的精神宠物是什么,趣味整活,🦔,别人养猫养狗，你脑子里养着一只随时会炸毛的刺猬。,G020,
239,前世是什么外卖,玄学运势,🍱,上辈子可能是一份被点了三遍的麻辣香锅，或者是一碗永远在路上的螺蛳粉。,G004,
240,在同事群聊备注里叫什么,职场发疯,📝,“摸鱼小王子”、“会议室雕像”还是“已读不回大师”？,G006,
241,废话大师鉴定,逆天知识,🗣️,能把“今天天气不错”展开成一篇八百字小作文的，就是你。,G003,
242,社交电池容量,性格搞怪,🔋,出门两小时，回家充电一整天。电量显示永远在10%以下徘徊。,G033,
243,恋爱中的离谱角色,情感离谱,🎭,是“自我攻略型选手”还是“等对方先死的守株待兔型”？,G008,
244,证明今天的班白上了,职场发疯,💸,忙了一天，回头一看，啥也没干成，工资还扣了。,G007,
245,投胎成什么家用电器,玄学运势,🧹,是勤勤恳恳的扫地机器人，还是常年吃灰的空气炸锅？,G013,
246,用睡觉姿势推测历史地位,逆天知识,🛏️,蜷成球的是军师，四仰八叉的是昏君，抱着枕头的是被流放的皇子。,G005,
247,你的暗恋属于什么流派,情感离谱,💘,是“视奸对方所有社交平台但绝不说话”的忍者流，还是“疯狂暗示到对方报警”的直球流？,,
248,慢性待机确诊,性格搞怪,⏸️,人在这里，魂在别处。启动需要十分钟，运行五分钟就卡顿。,G031,
249,QQ号转世成什么,趣味整活,💻,你的九位数QQ，下辈子可能是一个Wi-Fi密码，或者一串神秘代码。,G009,
250,开会时的真实精神状态,职场发疯,🧠,表面在记笔记，脑子里在放《甄嬛传》，并且已经演到滴血认亲了。,G047,
251,你的外卖记录人生转折点,逆天知识,📈,从麻辣烫到轻食沙拉，记录了你从放纵到自律（失败）的全过程。,,
252,塑料友情材质鉴定,情感离谱,🛍️,是“点赞之交”的薄塑料袋，还是“借钱不还”的劣质PVC？,G036,
253,把天聊死专业几级,性格搞怪,💀,一句话就能让热闹的群聊瞬间冷场，并收获一串省略号。,,
254,前世是什么部门角色,玄学运势,🏛️,上辈子是御膳房偷吃的，还是翰林院打瞌睡的？,G004,
255,工位神秘失踪事件,职场发疯,🔍,笔、零食、充电器，总在你最需要的时候，从工位上凭空消失。,G030,
256,你的表情包灵魂伴侣,趣味整活,🤪,是那个捂脸哭的熊猫头，还是那个“我裂开了”的沙雕猫？,G038,
