﻿批号,标签名,分类,_status兜底模板,dims数量,qs数量,qs.dim匹配,resultTypes数量,match匹配,硬性校验,概念创意,维度设计,题目质量,结果类型,emoji配色,总分,评级,问题,处理方式
批01_1-40,QQ号转世成什么,玄学运势,通过,3(正常),9=3×3,全部匹配,3=3,全部匹配,通过,4,3,3,3,3,16,⭐⭐⭐⭐,,直接入库
批01_1-40,你是哪种充电宝,性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,废话文学十级学者,趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你是哪种Wi-Fi信号,性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你的互联网人格,性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,摸鱼时长的历史地位,趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,职场濒危动物图鉴,职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你的暗恋像什么过期食品,情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,用泡面方式鉴定位面之子,逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你是哪种天气,性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,5,4,4,21,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,废话接龙锦标赛冠军,趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,4,4,22,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你的职场功德还剩多少,职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,前世是什么街头小吃,玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,4,5,4,22,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,友情里的工具人型号,情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,5,4,4,21,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你的大脑是什么存储设备,性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,办公室植物生存指南,职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你的爱情像什么BUG,情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,下辈子当什么交通工具,玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,4,5,4,22,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,互联网考古学家,趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你的情绪是什么奶茶温度,性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,用追剧姿势看职场地位,逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你是哪种待办事项,职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,恋爱里的阅读理解得分,情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你的存在感是什么网络信号,性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,职场戏精的自我修养,职场发疯,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,下辈子当什么云,玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你是哪种会议室茶水,职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,4,4,4,21,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,用手机电量类比社交能量,逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,5,5,4,22,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,你的幽默感是什么格式,性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,在同事群聊备注里叫什么,职场发疯,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,_status=failed: 生成超时或异常：LLM output invalid for tag '在同事群聊备注里叫什么': parse_failed=True, raw_len=2229; title为兜底模板,需重跑
批01_1-40,恋爱脑切除手术恢复期,情感离谱,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,_status=failed: 生成超时或异常：LLM output invalid for tag '恋爱脑切除手术恢复期': parse_failed=True, raw_len=2779; title为兜底模板,需重跑
批01_1-40,下辈子投胎成什么APP,玄学运势,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,_status=failed: 生成超时或异常：LLM output invalid for tag '下辈子投胎成什么APP': parse_failed=True, raw_len=2933; title为兜底模板,需重跑
批01_1-40,用点外卖习惯预测人生,逆天知识,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,_status=failed: 生成超时或异常：LLM output invalid for tag '用点外卖习惯预测人生': parse_failed=True, raw_len=2686; title为兜底模板,需重跑
批01_1-40,前世是什么无效社交,玄学运势,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,_status=failed: 生成超时或异常：LLM output invalid for tag '前世是什么无效社交': parse_failed=True, raw_len=2437; title为兜底模板,需重跑
批01_1-40,用超市购物车测人生轨迹,趣味整活,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,_status=failed: 生成超时或异常：LLM output invalid for tag '用超市购物车测人生轨迹': parse_failed=True, raw_len=2873; title为兜底模板,需重跑
批01_1-40,你的暗恋进度像什么下载任务,情感离谱,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,_status=failed: 生成超时或异常：LLM output invalid for tag '你的暗恋进度像什么下载任务': parse_failed=True, raw_len=2709; title为兜底模板,需重跑
批01_1-40,前世是什么部门什么角色,玄学运势,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,_status=failed: 生成超时或异常：LLM output invalid for tag '前世是什么部门什么角色': parse_failed=True, raw_len=3030; title为兜底模板,需重跑
批02_41-80,"确诊为WiFi信号",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"友谊的小船是什么材质",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"职场人设崩塌现场",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的专属BGM是什么",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的爱情像什么APP",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"摸鱼时在平行世界做什么",职场发疯,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的身体是什么版本",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"社交能量条还剩多少",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,5,5,4,22,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的离谱超能力",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,4,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"职场生存靠什么天赋",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的内心戏是什么类型片",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"聊天记录考古学家",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,4,4,22,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的运气是什么天气",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"确诊为行走的弹幕",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的家庭地位是什么电器",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"职场隐形技能",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的爱情兵法",,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"人生重启点在哪",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的大脑是什么搜索引擎",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"确诊为会议室盆栽",,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的社交面具有几层",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的手机相册是什么主题",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,4,4,4,21,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"职场食物链你在哪一层",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,4,5,4,22,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的暗恋像什么地下工作",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的财运是什么交通方式",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"确诊为过期罐头",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"职场必杀技冷却时间",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的QQ宠物转世",,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"跟历史人物的适配度",,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"前世的未了微信好友申请",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的职场寿命还剩几天",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"暧昧对象是哪种NPC",,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"会议中的角色扮演",职场发疯,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"确诊为手机电量",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,5,5,4,22,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"你的废话能量等级",,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"从走路姿势看朝代",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
批02_41-80,"人生加载进度条",玄学运势,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed: 生成超时或异常：LLM output invalid for tag '人生加载进度条': parse_failed=True, raw_len=2564; title为兜底模板","需重跑"
批02_41-80,"上辈子是什么动物",玄学运势,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed: 生成超时或异常：LLM output invalid for tag '上辈子是什么动物': parse_failed=True, raw_len=2911; title为兜底模板","需重跑"
批02_41-80,"你的拖延症是什么形态",,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed: 生成超时或异常：LLM output invalid for tag '你的拖延症是什么形态': parse_failed=True, raw_len=3048; title为兜底模板","需重跑"
批02_41-80,"塑料友情防弹等级",,失败(兜底模板),-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed: 生成超时或异常：LLM output invalid for tag '塑料友情防弹等级': parse_failed=True, raw_len=2821; title为兜底模板","需重跑"
服务器单跑-4,"未发送消息收藏家",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"办公室神秘音源",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"深夜思想家",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"选择性耳聋",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的大脑是什么垃圾处理器",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你是哪种民间传说生物",逆天知识,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"本周功德收支表",玄学运势,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"带薪如厕时间管理大师",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"内心戏独角戏演员",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"周一早八的怨气",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"工位结界",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"摸鱼时间管理大师",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"下班前五分钟相对论",职场发疯,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"咖啡续命鉴定",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"周末充电宝",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,5,5,4,22,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"加班功德",玄学运势,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"周末人格分裂",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的职场保护色",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"PPT驯兽师",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"深夜改稿的怨灵",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的周末重启方式",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"工位失踪物品图鉴",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"下班后失联等级",性格搞怪,通过,3(正常),9=3×3,全部匹配,3=3,全部匹配,通过,4,4,4,4,3,19,⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的KPI是啥",趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的摸鱼搭子",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的工作待机模式",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"通勤路上的修行",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的怨气收集器",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"下班后回血速度",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,5,4,4,21,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的摸鱼BGM",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"职场小强命格",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,4,4,22,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的请假理由库",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"深夜加班emo等级",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的职场替身",趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"摸鱼时的大脑活动",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"你的下班仪式感",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-4,"恋爱中的阅读理解",情感离谱,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-4,"周末失忆症",性格搞怪,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-4,"前世加班猝死鉴定",玄学运势,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-4,"周末计划破产专家",性格搞怪,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-5,"前世是摸鱼达人吗",玄学运势,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"职场隐形人修炼手册",职场发疯,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"周末时间膨胀现象",逆天知识,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"你的精神离职日期",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"工位零食生态学",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"加班福报转化率",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"你的周末重启键在哪",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"你的精神宠物是什么",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"恋爱中的离谱角色",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"你的暗恋属于什么流派",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"慢性待机确诊",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"开会时的真实精神状态",职场发疯,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"把天聊死专业几级",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
