
======= 标签创意评价总报告 =======
总共评价: 357 份
29. [16] 单身情侣观察员 (A2B3C4D4E3)
30. [16] 隐藏菜单挖掘者 (A3B3C3D4E3)


======= 完整评价表 (CSV格式) =======
序号,标签名,总分,A意外指数,B解码愉悦度,C共鸣锐度,D延展自洽性,E传播势能,定档,B+E(同分决胜)
1,领带薪拉屎冠军,17,4,3,3,4,3,Legendary,6
2,废话大师鉴定,15,3,2,4,4,2,Common,4
3,前世是什么外卖,14.5,2,2,4,4.5,2,Common,4
4,用睡觉姿势推测历史地位,14.5,3,2,3,4.5,2,Common,4
5,你是哪种充电宝,16.5,2,2,4,4.5,4,Rare,6
6,恋爱中的离谱角色,16,2,3,4,4,3,Rare,6
7,QQ号转世成什么,12,3,2,2,2,3,Common,5
8,你是哪种Wi-Fi信号,14.5,2,2,3,4.5,3,Common,5
9,证明今天的班白上了,17,3,4,3,4,3,Legendary,7
10,废话文学十级学者,16,3,3,4,4,2,Common,5
11,你的互联网人格,15,2,3,3,4,3,Common,6
12,摸鱼时长的历史地位,17,3,2,4,4,4,Legendary,6
13,职场濒危动物图鉴,18,4,3,4,4,3,Legendary,6
14,你的暗恋像什么过期食品,14.5,2,2,4,4.5,2,Common,4
15,用泡面方式鉴定位面之子,15,3,2,3,4,3,Common,5
16,你是哪种天气,14.5,2,2,3,4.5,3,Common,5
17,废话接龙锦标赛冠军,18,3,3,4,4,4,Legendary,7
18,你的职场功德还剩多少,17,2,2,4,4,5,Legendary,7
19,前世是什么街头小吃,15.5,2,3,3,4.5,3,Common,6
20,友情里的工具人型号,16,3,2,3,4,4,Rare,6
21,你的大脑是什么存储设备,15.5,2,3,3,4.5,3,Common,6
22,办公室植物生存指南,14.5,3,2,3,4.5,2,Common,4
23,你的爱情像什么BUG,15.5,2,3,3,4.5,3,Common,6
24,下辈子当什么交通工具,13.5,2,2,3,4.5,2,Common,4
25,互联网考古学家,16,3,3,3,4,3,Rare,6
26,你的情绪是什么奶茶温度,14.5,2,2,4,4.5,2,Common,4
27,用追剧姿势看职场地位,15.5,3,2,4,4.5,2,Common,4
28,你是哪种待办事项,15.5,2,2,4,4.5,3,Common,5
29,恋爱里的阅读理解得分,16,2,3,4,4,3,Rare,6
30,你的存在感是什么网络信号,14.5,2,2,3,4.5,3,Common,5
31,职场戏精的自我修养,16,3,3,4,4,2,Common,5
32,下辈子当什么云,13.5,2,2,3,4.5,2,Common,4
33,你是哪种会议室茶水,14.5,2,2,4,4.5,2,Common,4
34,用手机电量类比社交能量,16.5,3,2,4,4.5,3,Rare,5
35,你的幽默感是什么格式,14.5,2,2,3,4.5,3,Common,5
36,确诊为WiFi信号,14.5,2,2,3,4.5,3,Common,5
37,友谊的小船是什么材质,14.5,3,2,3,4.5,2,Common,4
38,职场人设崩塌现场,16,3,2,4,4,3,Common,5
39,你的专属BGM是什么,15.5,2,2,3,4.5,4,Common,6
40,你的爱情像什么APP,13.5,2,2,3,4.5,2,Common,4
41,摸鱼时在平行世界做什么,16,2,3,4,4,3,Rare,6
42,你的身体是什么版本,13.5,2,2,3,4.5,2,Common,4
43,社交能量条还剩多少,16,3,2,4,4,3,Common,5
44,你的离谱超能力,14,2,3,3,4,2,Common,5
45,职场生存靠什么天赋,17,3,3,4,4,3,Rare,6
46,你的内心戏是什么类型片,14.5,2,2,3,4.5,3,Common,5
47,聊天记录考古学家,17,3,3,4,4,3,Rare,6
48,你的运气是什么天气,13.5,2,2,3,4.5,2,Common,4
49,确诊为行走的弹幕,14.5,2,3,3,4.5,2,Common,5
50,你的家庭地位是什么电器,14.5,2,2,3,4.5,3,Common,5
51,职场隐形技能,17,3,4,4,4,2,Rare,6
52,你的爱情兵法,16,2,3,4,4,3,Rare,6
53,人生重启点在哪,17,3,3,4,4,3,Rare,6
54,你的大脑是什么搜索引擎,15.5,2,3,3,4.5,3,Common,6
55,确诊为会议室盆栽,14.5,2,2,4,4.5,2,Common,4
56,你的社交面具有几层,15,2,3,4,4,2,Common,5
57,你的手机相册是什么主题,14.5,2,3,3,3.5,3,Common,6
58,职场食物链你在哪一层,16,3,3,4,3,3,Rare,6
59,你的暗恋像什么地下工作,16.5,2,3,4,4.5,3,Rare,6
60,你的财运是什么交通方式,14.5,2,2,3,4.5,3,Common,5
61,确诊为过期罐头,14.5,2,2,3,4.5,3,Common,5
62,职场必杀技冷却时间,18,3,3,4,4,4,Legendary,7
63,你的QQ宠物转世,13.5,2,2,3,4.5,2,Common,4
64,跟历史人物的适配度,16.5,3,3,3,4.5,3,Rare,6
65,前世的未了微信好友申请,17.5,2,3,4,4.5,4,Legendary,7
66,你的职场寿命还剩几天,15,2,3,4,4,2,Common,5
67,暧昧对象是哪种NPC,15,2,3,3,4,3,Common,6
68,会议中的角色扮演,17,3,3,4,4,3,Rare,6
69,确诊为手机电量,14.5,2,2,3,4.5,3,Common,5
70,你的废话能量等级,17,2,3,4,4,4,Legendary,7
71,从走路姿势看朝代,16,3,3,3,4,3,Common,6
72,未发送消息收藏家,16,3,3,3,4,3,Common,6
73,办公室神秘音源,14,3,2,3,4,2,Common,4
74,深夜思想家,16,3,3,3,4,3,Common,6
75,选择性耳聋,16,3,3,3,4,3,Common,6
76,你的大脑是什么垃圾处理器,15.5,2,3,3,4.5,3,Common,6
77,你是哪种民间传说生物,15.5,2,3,3,4.5,3,Common,6
78,本周功德收支表,16,4,2,3,4,3,Common,5
79,带薪如厕时间管理大师,16,3,3,3,4,3,Common,6
80,内心戏独角戏演员,16,3,3,3,4,3,Common,6
81,周一早八的怨气,18,4,3,4,4,3,Legendary,6
82,工位结界,15,3,2,4,4,2,Common,4
83,摸鱼时间管理大师,16,3,2,4,4,3,Common,5
84,下班前五分钟相对论,18,3,3,4,4,4,Legendary,7
85,咖啡续命鉴定,16,3,2,3,4,4,Common,6
86,周末充电宝,17,3,3,4,4,3,Rare,6
87,加班功德,16,2,3,4,4,3,Common,6
88,周末人格分裂,16,3,3,3,4,3,Common,6
89,你的职场保护色,16,2,3,4,4,3,Common,6
90,PPT驯兽师,17,3,3,4,4,3,Rare,6
91,深夜改稿的怨灵,15,3,2,3,4,3,Common,5
92,你的周末重启方式,15,2,3,3,4,3,Common,6
93,工位失踪物品图鉴,17,3,3,4,4,3,Rare,6
94,下班后失联等级,14,3,2,4,2,3,Common,5
95,你的KPI是啥,15,2,2,4,4,3,Common,5
96,你的摸鱼搭子,17,2,3,4,4,4,Legendary,7
97,你的工作待机模式,16,2,3,4,4,3,Common,6
98,通勤路上的修行,15,2,2,4,4,3,Common,5
99,你的怨气收集器,15,2,2,4,4,3,Common,5
100,下班后回血速度,16,3,3,4,4,2,Common,5
101,你的摸鱼BGM,15,2,3,4,4,2,Common,5
102,职场小强命格,17,3,3,4,4,3,Rare,6
103,你的请假理由库,15,2,3,4,4,2,Common,5
104,深夜加班emo等级,17,3,3,4,4,3,Rare,6
105,你的职场替身,16,2,3,4,4,3,Common,6
106,摸鱼时的大脑活动,17,3,3,4,4,3,Rare,6
107,你的下班仪式感,14,2,2,4,4,2,Common,4
108,前世是摸鱼达人吗,17,2,3,4,4,4,Legendary,7
109,职场隐形人修炼手册,16,3,2,4,4,3,Common,5
110,周末时间膨胀现象,15,3,2,3,4,3,Common,5
111,你的精神离职日期,15,2,3,3,4,3,Common,6
112,工位零食生态学,17.5,3,3,4,4.5,3,Legendary,6
113,加班福报转化率,14,2,2,4,4,2,Common,4
114,你的周末重启键在哪,15,2,3,3,4,3,Common,6
115,你的精神宠物是什么,15.5,2,3,3,4.5,3,Common,6
116,你的暗恋属于什么流派,16,2,3,4,4,3,Common,6
117,慢性待机确诊,16,3,2,4,4,3,Common,5
118,开会时的真实精神状态,15,3,2,4,4,2,Common,4
119,把天聊死专业几级,17,3,3,4,4,3,Rare,6
120,深夜矫情浓度检测,16,3,3,3,4,3,Common,6
121,在同事眼里的人设,15,3,2,4,4,2,Common,4
122,你的网络人格分裂指数,14,2,2,3,4,3,Common,5
123,床头水杯数量,16,3,3,3,4,3,Common,6
124,灵气复苏你在哪一层,16.5,4,3,3,4.5,2,Rare,5
125,摸鱼时的手部小动作,17,3,3,4,4,3,Rare,6
126,未发送的微信消息,16,3,3,3,4,3,Common,6
127,寿命计算（离谱版）,17,3,4,3,4,3,Legendary,7
128,你是哪个小众领域专家,15.5,2,3,3,4.5,3,Common,6
129,你和最好朋友的相似度,16,3,2,3,4,4,Common,6
130,恋爱脑发作周期,15,2,2,4,4,3,Common,5
131,备忘录里的奇怪清单,16,3,2,4,4,3,Common,5
132,上辈子是什么职业（冷门版）,13.5,2,2,3,4.5,2,Common,4
133,通过歌单看人生阶段,15,3,2,3,4,3,Common,5
134,你的互联网嘴替是谁,15,2,3,3,4,3,Common,6
135,对crush的搜索记录,15,3,2,3,4,3,Common,5
136,今天的运势（自己说了算）,15,3,3,3,4,2,Common,5
137,把天聊死流派,16,3,3,3,4,3,Common,6
138,深夜矫情等级,16,3,3,3,4,3,Common,6
139,跟历史人物的共同点,15.5,3,2,3,4.5,3,Common,5
140,外卖记录反推人生,17,3,3,4,4,3,Rare,6
141,投胎成什么家用电器,15.5,3,2,3,4.5,3,Common,5
142,你眼中的自己 vs 别人眼中的你,16.5,3,3,3,4.5,3,Rare,6
143,没人理解的生活习惯,16,3,3,3,4,3,Common,6
144,社交强制关机时刻,17,3,3,4,4,3,Rare,6
145,给日常物品分配MBTI,16,3,3,3,4,3,Common,6
146,跟表情包的灵魂契合度,18,3,3,4,4,4,Legendary,7
147,证明你和朋友是同一个人,16,3,2,3,4,4,Common,6
148,你的翻聊天记录流派,15,2,3,3,4,3,Common,6
149,备忘录里的未发送内容,17,3,3,4,4,3,Rare,6
150,你的“算了”能量槽,15,2,2,4,4,3,Common,5
151,通过歌单诊断近期状态,15,3,2,3,4,3,Common,5
152,上辈子是驿站喂马的,16.5,3,3,4,4.5,2,Rare,5
153,朋友群的潜水并截图大师,16,3,2,4,4,3,Common,5
154,单身饭桶鉴定,15,2,3,4,4,2,Common,5
155,猫奴等级测试,16,2,4,3,4,3,Rare,7
156,狗语八级学者,15,2,3,3,4,3,Common,6
157,抽卡非酋认证,15,2,3,3,4,3,Common,6
158,追星站姐代餐,15,2,2,3,4,4,Common,6
159,吃辣段位测评,15,2,3,3,4,3,Common,6
160,猫掉毛量计算,15,3,2,3,4,3,Common,5
161,游戏按键磨损度,14,3,2,3,4,2,Common,4
162,爱豆同款相似度,16,3,3,3,4,3,Common,6
163,奶茶糖分计算师,15,2,2,4,4,3,Common,5
164,单身桃花转世,15,2,2,4,4,3,Common,5
165,宠物前世身份,16,3,3,3,4,3,Common,6
166,追星缘分指数,14,2,2,3,4,3,Common,5
167,吃货财运关联,16,3,3,3,4,3,Common,6
168,单身等死型恋爱,16,2,3,4,4,3,Common,6
169,宠物争宠大师,16,3,3,3,4,3,Common,6
170,游戏cp绝缘体,15,3,2,3,4,3,Common,5
171,追星梦女等级,16,2,4,3,4,3,Rare,7
172,带薪撸鱼达人,14,3,2,3,4,2,Common,4
173,上班摸鱼打游戏,16,3,2,4,4,3,Common,5
174,工位追星隐蔽者,17,3,3,4,4,3,Rare,6
175,带薪蹲点抢外卖,16,3,3,4,4,2,Common,5
176,单身冰箱收藏家,16,2,3,4,4,3,Common,6
177,仓鼠囤粮爱好者,18,3,4,4,4,3,Legendary,7
178,游戏嘴强王者,15,3,3,3,4,2,Common,5
179,追星物料考古家,15,2,3,3,4,3,Common,6
180,单身情侣观察员,16,2,3,4,4,3,Common,6
181,宠物表情包大户,16,3,2,4,4,3,Common,5
182,新游尝鲜韭菜,17,3,3,3,4,4,Legendary,7
183,应援词背诵大师,15,3,2,3,4,3,Common,5
184,隐藏菜单挖掘者,16,3,3,3,4,3,Common,6
185,单身脱单flag寿命,16,2,2,4,4,4,Common,6
186,遛狗步数换算,16,3,3,3,4,3,Common,6
187,游戏喷人速度测试,15,3,2,3,4,3,Common,5
188,爱豆生日记忆力,15,3,3,3,4,2,Common,5
189,火锅蘸料配方师,16,2,3,4,4,3,Common,6
190,相亲局话术大师,13,2,2,3,4,2,Common,4
191,前任考古学家,16,2,3,4,4,3,Common,6
192,恋爱脑间歇性发作,16,2,3,4,4,3,Common,6
193,脱单锦鲤绝缘体,16,3,2,3,4,4,Common,6
194,相亲对象分类学,15,2,3,3,4,3,Common,6
195,朋友圈官宣拖延症,17,3,3,4,4,3,Rare,6
196,妈见打型单身贵族,17,3,3,4,4,3,Rare,6
197,恋爱废物鉴定,15,2,2,4,4,3,Common,5
198,月老线打结专家,16,3,3,3,4,3,Common,6
199,前任的现任观察员,16,2,3,4,4,3,Common,6
200,相亲简历优化师,15,2,3,3,4,3,Common,6
201,催婚话术反侦察,16,2,3,4,4,3,Common,6
202,分手后遗症门诊,16,2,3,4,4,3,Common,6
203,孤寡青蛙转世,14,2,2,3,4,3,Common,5
204,恋爱演习指挥官,14,2,2,4,4,2,Common,4
205,相亲KPI考核员,16,2,3,4,4,3,Common,6
206,前任遗物清理师,16,2,3,4,4,3,Common,6
207,注孤生体质检测,15,2,3,3,4,3,Common,6
208,桃花运风水大师,16,2,3,3,4,4,Rare,7
209,嘴硬心软型选手,16,3,3,3,4,3,Common,6
210,办公室恋情观察家,14,3,2,3,4,2,Common,4
211,暧昧期ICU重症,16,2,4,3,4,3,Rare,7
212,恋爱剧本杀编剧,15,2,2,4,4,3,Common,5
213,催婚抗压训练营,16,2,3,4,4,3,Common,6
214,分手大师速成班,15,2,2,4,4,3,Common,5
215,正缘迷路中,15,3,2,3,4,3,Common,5
216,恋爱内耗冠军,15,2,3,4,4,2,Common,5
217,相亲尬聊记录员,15,2,2,4,4,3,Common,5
218,自我攻略型选手,16,3,3,3,4,3,Common,6
219,恋爱防沉迷系统,15,2,2,4,4,3,Common,5
220,月老黑名单VIP,15,3,2,3,4,3,Common,5
221,职场寡王,17,3,3,4,4,3,Rare,6
222,催婚免疫球蛋白,16,2,3,4,4,3,Common,6
223,失恋废墟重建师,16,3,3,3,4,3,Common,6
224,相亲对象图鉴收集,14,2,2,3,4,3,Common,5
225,桃花劫体质,15,2,3,3,4,3,Common,6
226,单身保命指南作者,16,2,3,4,4,3,Common,6
227,恋爱脑格式化失败,15,2,2,4,4,3,Common,5
228,确诊为蜗牛,15.5,2,3,3,4.5,3,Common,6
229,聚会隐形人,15,3,2,3,4,3,Common,5
230,耳机焊在耳朵上,15,3,2,3,4,3,Common,5
231,道歉型人格,17,3,3,4,4,3,Rare,6
232,线上疯批线下怂,16,3,3,3,4,3,Common,6
233,奶茶选糖纠结症,17,2,4,4,4,3,Legendary,7
234,表情包当饭吃,17,3,3,4,4,3,Rare,6
235,MBTI行走说明书,16,3,3,3,4,3,Common,6
236,取快递伪装大师,17,4,3,3,4,3,Rare,6
237,沙发土豆转世,14,3,2,3,4,2,Common,4
238,废话文学大师,17,3,2,4,4,4,Rare,6
239,海底捞社恐选手,17,3,3,4,4,3,Rare,6
240,熬夜冠军守门员,17,2,3,4,4,4,Legendary,7
241,外卖备注小作文,17,3,3,4,4,3,Rare,6
242,相册全是截图,17,3,3,4,4,3,Rare,6
243,历史人物同款懒,15,3,2,3,4,3,Common,5
244,睡觉姿势测命格,16,3,3,3,4,3,Common,6
245,收藏夹吃灰达人,17,3,3,4,4,3,Rare,6
246,洗发水用到底才换,16,3,3,3,4,3,Common,6
247,微信步数判行踪,16,3,3,3,4,3,Common,6
248,听歌品味测年龄,15,3,2,3,4,3,Common,5
249,上辈子是守门石狮子,14.5,3,2,3,4.5,2,Common,4
250,投胎当小区流浪猫,14,3,2,3,4,2,Common,4
251,前世是驿站喂马的,13,2,2,3,4,2,Common,4
252,今日摸鱼运势,18,3,3,4,4,4,Legendary,7
253,灵气值剩余检测,17,4,2,3,4,4,Rare,6
254,月老红线缠脚了,15,3,2,3,4,3,Common,5
255,下辈子做冰箱,14.5,2,2,3,4.5,3,Common,5
256,暗恋等死型选手,16,3,2,4,4,3,Common,5
257,社交电池10%,17,3,2,4,4,4,Rare,6
258,恋爱脑晚期患者,16,2,3,4,4,3,Common,6
259,把天聊死小能手,16,3,3,3,4,3,Common,6
260,朋友圈三天可见,16,3,3,3,4,3,Common,6
261,闺蜜恋爱军师,16,3,2,4,4,3,Common,5
262,开会灵魂出窍,14,3,2,3,4,2,Common,4
263,下班跑的比谁都快,15,3,2,4,4,2,Common,4
264,工位零食库管理员,17.5,3,3,4,4.5,3,Legendary,6
265,改方案改到吐,15,3,2,3,4,3,Common,5
266,群聊潜水截图党,15,3,2,4,4,2,Common,4
267,周一综合症重度,16,3,3,3,4,3,Common,6
268,工资到账即清空,16,2,3,4,4,3,Common,6
269,拖延二级残废,14,2,2,4,4,2,Common,4
270,外卖选择困难户,18,3,4,4,4,3,Legendary,7
271,开会摸鱼段位鉴定,17,3,3,4,4,3,Rare,6
272,emo文案收藏家,15,2,2,4,4,3,Common,5
273,下班倒计时选手,16,3,3,4,4,2,Common,5
274,深夜网抑云常驻嘉宾,16,3,2,3,4,4,Common,6
275,凑单小能手,17,3,3,4,4,3,Rare,6
276,明日复明日信徒,15,3,2,3,4,3,Common,5
277,工位隐形摸鱼人,16,3,2,4,4,3,Common,5
278,无用商品收藏家,16,3,3,3,4,3,Common,6
279,外卖备注十级学者,17,3,3,4,4,3,Rare,6
280,拖延症阎王薄记载,16,2,3,4,4,3,Common,6
281,工作群潜水冠军,15,3,2,3,4,3,Common,5
282,深夜食欲控制失败,16,3,3,3,4,3,Common,6
283,快递拆箱仪式爱好者,16,3,3,3,4,3,Common,6
284,万年踩点上班选手,15,3,3,3,4,2,Common,5
285,乾隆同款外卖品味,17,3,3,4,4,3,Rare,6
286,摸鱼功德积累器,19,4,3,4,4,4,Legendary,7
287,下班失联专业户,17,3,3,4,4,3,Rare,6
288,emo秒删选手,16,2,3,4,4,3,Common,6
289,deadline战神,17,3,3,3,4,4,Legendary,7
290,上辈子是囤货松鼠,16.5,3,3,3,4.5,3,Rare,6
291,开会走神选手,16,3,3,3,4,3,Common,6
292,深夜回忆杀患者,15,3,2,4,4,2,Common,4
293,退货小能手,17,3,4,3,4,3,Legendary,7
294,摸鱼转世锦鲤,16,3,3,4,4,2,Common,5
295,网购买同款狂魔,17,3,3,4,4,3,Rare,6
296,深夜哲学大师,16,3,3,3,4,3,Common,6
297,下辈子当收租婆,15.5,2,3,3,4.5,3,Common,6
298,外卖催单大师,17,3,3,4,4,3,Rare,6
299,下辈子是什么垃圾,15.5,2,3,3,4.5,3,Common,6
300,朋友群的聊天定位,15,3,2,3,4,3,Common,5
301,你的大脑是什么浏览器,15.5,2,3,3,4.5,3,Common,6
302,用点菜方式看统治风格,15,3,3,3,4,2,Common,5
303,你的阳寿被什么扣完了,15,2,2,4,4,3,Common,5
304,恋爱像在玩什么游戏,16.5,2,3,4,4.5,3,Rare,6
305,办公室食物链位置,16,3,3,3,4,3,Common,6
306,你的笑声像什么乐器,13.5,2,2,3,4.5,2,Common,4
307,上辈子存的功德余额,16.5,4,2,3,4.5,3,Rare,5
308,你的工位风水怎么样,15.5,2,2,4,4.5,3,Common,5
309,确诊为二手市场,15.5,2,3,3,4.5,3,Common,6
310,你的大脑后台程序,15.5,2,3,3,4.5,3,Common,6
311,用赖床理由推测历史事件,17.5,3,3,4,4.5,3,Legendary,6
312,下辈子的出生点,14.5,2,2,3,4.5,3,Common,5
313,暗恋像在玩什么,17.5,3,3,4,4.5,3,Legendary,6
314,职场隐身术修炼等级,16,3,2,4,4,3,Common,5
